user_id,buy_count,cart_count,view_count,engagement_score,value_segment,recency_available,monetary_available,data_nature
U00001,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00002,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00003,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00004,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00005,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00006,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00007,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00008,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00009,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00010,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00011,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00012,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00013,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00014,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00015,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00016,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00017,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00018,11,12,12,136,活跃,False,False,public-derived-with-sequence-proxy
U00019,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00020,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00021,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00022,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00023,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00024,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00025,4,12,12,80,观察,False,False,public-derived-with-sequence-proxy
U00026,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00027,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00028,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00029,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
U00030,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00031,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00032,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00033,9,12,12,120,活跃,False,False,public-derived-with-sequence-proxy
U00034,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00035,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00036,5,12,12,88,观察,False,False,public-derived-with-sequence-proxy
U00037,7,12,12,104,成长,False,False,public-derived-with-sequence-proxy
U00038,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00039,6,12,12,96,观察,False,False,public-derived-with-sequence-proxy
U00040,12,12,12,144,活跃,False,False,public-derived-with-sequence-proxy
U00041,8,12,12,112,成长,False,False,public-derived-with-sequence-proxy
U00042,10,12,12,128,活跃,False,False,public-derived-with-sequence-proxy
