user_id,item_id,event_type,sequence_rank_within_type,absolute_event_time_available,data_nature
U00001,I00054,view,1,False,public-derived-with-sequence-proxy
U00001,I00199,view,2,False,public-derived-with-sequence-proxy
U00001,I00416,view,3,False,public-derived-with-sequence-proxy
U00001,I00423,view,4,False,public-derived-with-sequence-proxy
U00001,I00540,view,5,False,public-derived-with-sequence-proxy
U00001,I00592,view,6,False,public-derived-with-sequence-proxy
U00001,I00672,view,7,False,public-derived-with-sequence-proxy
U00001,I00699,view,8,False,public-derived-with-sequence-proxy
U00001,I00970,view,9,False,public-derived-with-sequence-proxy
U00001,I01176,view,10,False,public-derived-with-sequence-proxy
U00001,I01325,view,11,False,public-derived-with-sequence-proxy
U00001,I01404,view,12,False,public-derived-with-sequence-proxy
U00002,I00052,view,1,False,public-derived-with-sequence-proxy
U00002,I00094,view,2,False,public-derived-with-sequence-proxy
U00002,I00095,view,3,False,public-derived-with-sequence-proxy
U00002,I00125,view,4,False,public-derived-with-sequence-proxy
U00002,I00175,view,5,False,public-derived-with-sequence-proxy
U00002,I00332,view,6,False,public-derived-with-sequence-proxy
U00002,I00433,view,7,False,public-derived-with-sequence-proxy
U00002,I00445,view,8,False,public-derived-with-sequence-proxy
U00002,I00716,view,9,False,public-derived-with-sequence-proxy
U00002,I00906,view,10,False,public-derived-with-sequence-proxy
U00002,I00992,view,11,False,public-derived-with-sequence-proxy
U00002,I01008,view,12,False,public-derived-with-sequence-proxy
U00003,I00386,view,1,False,public-derived-with-sequence-proxy
U00003,I00598,view,2,False,public-derived-with-sequence-proxy
U00003,I01044,view,3,False,public-derived-with-sequence-proxy
U00003,I01222,view,4,False,public-derived-with-sequence-proxy
U00003,I01397,view,5,False,public-derived-with-sequence-proxy
U00003,I01505,view,6,False,public-derived-with-sequence-proxy
U00003,I01643,view,7,False,public-derived-with-sequence-proxy
U00003,I01924,view,8,False,public-derived-with-sequence-proxy
U00003,I01994,view,9,False,public-derived-with-sequence-proxy
U00003,I02013,view,10,False,public-derived-with-sequence-proxy
U00003,I02135,view,11,False,public-derived-with-sequence-proxy
U00003,I02180,view,12,False,public-derived-with-sequence-proxy
