cycle,cooler,valve,pump,accum,PS2_bar,TS1_C,TS3_C,VS1_mms,CE_pct,CP_kW,FS1_lmin
1464,100,100,0,90,107.93,44.67,47.06,0.615,35.7,2.24,6.66
1465,100,100,0,90,108.15,43.33,46.59,0.613,44.6,2.77,6.67
1466,100,100,0,90,108.37,41.87,45.91,0.611,46.3,2.84,6.67
1467,100,100,0,90,108.53,40.89,44.94,0.608,46.6,2.79,6.66
1468,100,100,0,90,108.61,40.12,44.05,0.599,47,2.74,6.68
1469,100,100,0,90,108.71,39.46,43.32,0.594,47.2,2.69,6.67
1470,100,100,0,90,108.76,38.9,42.67,0.587,47.4,2.63,6.67
1471,100,100,0,90,108.82,38.44,42.1,0.581,47.3,2.58,6.68
1472,100,100,0,90,108.9,38.05,41.62,0.585,47.3,2.54,6.69
1473,100,100,0,90,108.95,37.7,41.19,0.578,47.2,2.49,6.67
1474,100,100,0,90,108.99,37.43,40.8,0.573,46.9,2.44,6.67
1475,100,100,0,90,109.06,37.18,40.48,0.572,47.3,2.42,6.67
1476,100,100,0,90,109.12,36.95,40.23,0.575,47.3,2.39,6.69
1477,100,100,0,90,109.19,36.75,39.99,0.569,47.1,2.36,6.68
1478,100,100,0,90,109.19,36.6,39.77,0.567,47,2.34,6.67
1479,100,100,0,90,109.23,36.45,39.62,0.564,46.8,2.31,6.7
1480,100,100,0,90,109.27,36.32,39.46,0.571,47.4,2.32,6.68
1481,100,100,0,90,109.3,36.21,39.32,0.563,47.3,2.3,6.68
1482,100,100,0,90,109.3,36.13,39.2,0.564,47,2.27,6.7
1483,100,100,0,90,109.34,36.06,39.09,0.565,46.9,2.25,6.68
1484,100,100,0,90,109.35,35.98,39.01,0.561,47,2.25,6.69
1485,100,100,0,90,109.39,35.91,38.92,0.559,46.6,2.22,6.68
1486,100,100,0,90,109.4,35.87,38.85,0.559,47.2,2.24,6.68
1487,100,100,0,90,109.41,35.8,38.8,0.559,46.9,2.22,6.7
1488,100,100,0,90,109.45,35.75,38.76,0.561,46.8,2.21,6.7
1489,100,100,0,90,109.45,35.72,38.7,0.557,46.9,2.21,6.68
1490,100,100,0,90,109.46,35.69,38.65,0.564,46.6,2.19,6.69
1491,100,100,0,90,109.46,35.65,38.63,0.559,46.5,2.18,6.7
1492,100,100,0,90,109.49,35.61,38.59,0.568,46.6,2.18,6.68
1493,100,100,0,90,109.46,35.59,38.58,0.565,46.5,2.17,6.68
1494,100,100,0,90,109.49,35.56,38.54,0.562,46.5,2.17,6.68
1495,100,100,0,90,109.48,35.53,38.52,0.561,46.3,2.15,6.68
1496,100,100,0,90,109.46,35.53,38.5,0.563,46.3,2.15,6.68
1497,100,100,0,90,109.5,35.52,38.47,0.56,46.4,2.15,6.68
1498,100,100,0,90,109.48,35.5,38.46,0.563,46.3,2.15,6.69
1499,100,100,0,90,109.5,35.5,38.45,0.561,46.4,2.15,6.69
1500,100,100,0,90,109.49,35.49,38.43,0.561,46.5,2.15,6.68
1501,100,100,0,90,109.5,35.48,38.42,0.56,46.1,2.13,6.68
1502,100,100,0,90,109.52,35.48,38.42,0.563,46.2,2.14,6.69
1503,100,100,0,90,109.49,35.46,38.42,0.563,46.3,2.14,6.7
1504,100,100,0,90,109.52,35.45,38.42,0.562,46.1,2.14,6.68
1505,100,100,0,90,109.51,35.45,38.41,0.562,45.9,2.12,6.69
1506,100,100,0,90,109.49,35.44,38.4,0.558,46.2,2.14,6.68
1507,100,100,0,90,109.53,35.43,38.41,0.556,46.6,2.16,6.68
1508,100,100,0,90,109.5,35.44,38.41,0.557,46.6,2.16,6.69
1509,100,100,0,90,109.52,35.43,38.4,0.562,46.4,2.15,6.68
1510,100,100,0,90,109.51,35.43,38.39,0.557,46.4,2.15,6.7
1511,100,100,0,90,109.51,35.44,38.4,0.552,46.4,2.15,6.69
1512,100,100,0,90,109.52,35.43,38.4,0.556,46.4,2.15,6.7
1513,100,100,0,90,109.56,35.44,38.4,0.557,46.7,2.16,6.67
1514,100,100,0,90,109.54,35.43,38.4,0.556,46.7,2.16,6.68
1515,100,100,0,90,109.53,35.45,38.4,0.558,46.9,2.17,6.7
1516,100,100,0,90,109.56,35.45,38.4,0.555,46.7,2.16,6.69
1517,100,100,0,90,109.55,35.44,38.4,0.561,46.7,2.16,6.7
1518,100,100,0,90,109.55,35.44,38.4,0.566,46.6,2.16,6.69
1519,100,100,0,90,109.56,35.44,38.4,0.558,46.8,2.16,6.7
1520,100,100,0,90,109.58,35.43,38.4,0.561,46.4,2.14,6.69
1521,100,100,0,90,109.56,35.42,38.4,0.566,46.6,2.15,6.7
1522,100,100,0,90,109.57,35.41,38.4,0.563,46.7,2.16,6.69
1523,100,100,0,90,109.6,35.41,38.39,0.57,46.5,2.15,6.69
1524,100,100,0,90,109.59,35.41,38.39,0.565,46.6,2.15,6.68
1525,100,100,0,90,109.61,35.42,38.38,0.56,46.4,2.14,6.68
1526,100,100,0,90,109.6,35.41,38.38,0.562,46.4,2.14,6.69
1527,100,100,0,90,109.59,35.41,38.38,0.564,46.7,2.16,6.68
1528,100,100,0,90,109.6,35.4,38.38,0.563,46.4,2.14,6.7
1529,100,100,0,90,109.6,35.39,38.36,0.566,46.4,2.14,6.69
1530,100,100,0,90,109.57,35.39,38.36,0.568,46.3,2.14,6.68
1531,100,100,0,90,109.6,35.39,38.36,0.576,46.3,2.14,6.68
1532,100,100,0,90,109.59,35.4,38.34,0.57,46.3,2.14,6.68
1533,100,100,0,90,109.58,35.38,38.35,0.565,46.3,2.13,6.69
1534,100,100,0,90,109.58,35.41,38.36,0.557,46.7,2.16,6.7
1535,100,100,0,90,109.59,35.4,38.34,0.559,46.5,2.14,6.69
1536,100,100,0,90,109.61,35.4,38.35,0.568,46.3,2.14,6.68
1537,100,100,0,90,109.61,35.4,38.35,0.561,46.4,2.14,6.7
1538,100,100,0,90,109.59,35.4,38.35,0.564,46.5,2.15,6.7
1539,100,100,0,90,109.58,35.41,38.37,0.567,46.8,2.16,6.69
1540,100,100,0,90,109.58,35.42,38.36,0.565,46.4,2.15,6.68
1541,100,100,0,90,109.6,35.41,38.36,0.563,46.4,2.14,6.68
1542,100,100,0,90,109.59,35.41,38.38,0.562,46.4,2.15,6.69
1543,100,100,0,90,109.6,35.41,38.38,0.559,46.3,2.14,6.68
1544,100,100,0,90,109.61,35.41,38.38,0.56,46.4,2.15,6.7
1545,100,100,0,90,109.61,35.41,38.38,0.564,46.4,2.14,6.69
1546,100,100,0,90,109.58,35.42,38.37,0.562,46.4,2.14,6.7
1547,100,100,0,90,109.59,35.42,38.38,0.566,47,2.17,6.69
1548,100,100,0,90,109.6,35.43,38.38,0.563,46.9,2.16,6.69
