id,split,review,star,Location#Transportation,Location#Downtown,Location#Easy_to_find,Service#Queue,Service#Hospitality,Service#Parking,Service#Timely,Price#Level,Price#Cost_effective,Price#Discount,Ambience#Decoration,Ambience#Noise,Ambience#Space,Ambience#Sanitary,Food#Portion,Food#Taste,Food#Appearance,Food#Recommend,source_id,data_nature
44998,train,家就住附近，自从这家店开业以来，来过不下10次了，一句话：越来越差！今晚家人又来吃，先点了6个菜，3个没有（东坡肘子、青蛤蒸蛋、清炒豌豆尖）！要知道当时刚刚晚上6点！相反，两个凉菜秒上，相信是早就备好的，换句话说不知道做好多久了！最终点的8道菜包括：棒棒鸡，油而不香、调味怪异、像是学徒胡乱调的；四川泡菜，完全没有爽脆的口感；橄榄油拌蔬菜沙拉，基本只有生菜，调味就是味精加醋；东坡肉，尚可，但是瘦肉部分柴了；水煮牛肉，煮太老了；水煮鲈鱼，尚可；四蔬，唯一一道合格的菜；蘑菇虾滑，杏鲍菇老的嚼不动，虾滑不够弹！一星没得说！可能是因为附近居民太多，又没有其他同档次的餐厅，导致这家生意异常火爆！我只想说，如果再这样在菜品上糊弄人，只能砸了自己招牌！反正我不会再去了！,1.0,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,DATA-03,public-derived
31915,train,真心不会有下次，晚上7点到店外买回家后打开吃，发现皮皮虾吃下来是死了很久空心流水的，小份98块一份只有8、9个小得过份老板之前还说差不多有一斤，为了做生意不是这样吧！大闸蟹都一样不新鲜，蟹肉里面黑的！只是拿回家不想回去跟他们说。其他菜里面只小龙虾新鲜一点，买单400块多一点还好用卷平一点，不然出事！店里的菜跟本也不平宜，老板自己想想吧，是不是买出去的海鲜不新鲜变坏了还要外卖给客人吃，又不是未给钱。真心过火,1.0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,-2,-2,-2,-1,-2,-1,-2,-2,DATA-03,public-derived
31401,train,直接到店，18点，人多的不行，也没个等号排队的系统。一会说不发等位牌号，后面又不按照先来后到的顺序发牌号，乱呀。。。一肚子的气体呀，店大，生意忙呀。等了半天，才开始上菜了。总的来说，菜口味还行，就是比较乱，比较慢。菜量也不大。就是正常的那种。点的汗蒸鸡，口味还行，没有其他人点评的那么好吃，倒是从点菜到这只鸡上桌花了40多分钟。本来以为菜量大，控制着点，结果不够吃，上菜慢也不敢再加菜。最后只好到其它地方进行下半场了。,1.0,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,0,-2,-2,DATA-03,public-derived
5353,dev,今天和男票去的，一进去看环境还不错，看菜单价格也不贵，没想到服务这么差，那么大的餐厅就几桌客人，要点水叫了四五个服务员都说没空要不就是答应了不给上，因为没水所以后来跟服务员说来扎西瓜汁吧，等了半天也没上，拦住一个服务员说西瓜汁催一下，他居然跑到前台把我们点的单子拿过来跟我们说你们没点，真是笑死了，不管是不是我们没点还是加单的服务员忘记下了这个时候都应该说等一下马上来而不是跑过来质问我们吧，跟我们有关系吗？开始就点的虾滑等到我们都快吃完了才过来说没了，食物本身还可以但是也没有很惊艳，服务从没见过这么差的，比海底捞差多了，味道也没有很好，调料种类也少，没有水果也就算了，芝麻酱又稀味道又差，总之印象非常不好，哪儿哪儿都不对，坚决不会再去了！！！！！！,1.0,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,1,1,1,1,-2,0,-2,-2,DATA-03,public-derived
34188,train,经常在外面吃饭，也特别喜欢美食。作为一个资深的吃货，第一次觉得还有这么差的餐馆，最差的是服务，衡量一家餐馆的标准除了环境，菜品，服务也是相当重要的，不能因为人多服务水平就下降，但武汉的餐馆普遍存在，餐馆连锁店一家接一家的开，菜品质量保证不了，服务也跟不上。家庭聚会订的包房，点了不少菜，但感觉好吃的就一道。最值得一提的咸香豆腐62元，豆腐能卖到60多应该有特别之处，装盘是还不错，一盘有12块，一吃才发现就是日本豆腐，里面加了鸡蛋，咸味是有，香味没有，吃完真没发现有什么特别之处，为这60多真心觉得不值。主食上的糍粑，这道菜也是我的最爱，吃过无数家餐馆的糍粑，都做的非常好吃，但他家的糍粑只能用失望2个字概括，外皮硬，咬起来就费劲。唯一觉得好吃的就一道菜，沙拉鲜果香酥肉，一盘大概8片，就是油炸五花肉，很大片，炸得很酥脆，味道还不错。最后吃完饭，让服务拿打包盒，半天没看到服务员，好不容易有一个，被告之，打包盒1元1个自己去买，就这样的服务下次是绝对不会再来了。,1.0,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,0,1,-2,DATA-03,public-derived
41977,train,饮马桥7+7店，菜价格贵量少，服务态度差，在店里吃饭筷子本该免费，而店内却要收一元钱，名曰特价菜，矮个子服务员，还说筷子还是买的，难道吃饭不提供筷子，虽然一元钱不多可算是乱收费，別的店没听说收筷子的钱，本人打算向工商部门投诉，要吗寒山论坛发贴，有录音，我问服务员，她不敢说，旁边的男的说一次性筷子一元，在苏州第一次听说吃饭筷子要收费的，还有服务员酸菜鱼的时候大拇指甲都到菜汤里了，就是因为靠医院感觉生意好，服务态度差，知道7+7投诉电话的说下，要不就打工商电话,1.0,-2,-2,-2,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,DATA-03,public-derived
45399,dev,总体不满意。1.号称七星，服务员不会使用礼貌用语，不微笑服务说话不带请字；洗手间清扫阿姨见面不主动问好，洗手台设计不合理，马桶旁地上有明显水渍，没有放擦手巾的地方，顾客询问不回答直接拿来擦洗手台；2.带位员工看到别桌顾客自己换桌，什么也不说就让我们坐别人换的那桌，管理混乱；3.三文鱼排队还不新鲜。我第一次看到发白的三文鱼，查询之下发白发暗的都是不新鲜的。东西种类少。甜品那故意安排外籍服务员，而且有些故意放倒柜子里需要让服务员拿。幸好我会讲英文，如果不擅长的因为语言问题就不要了，同去的朋友就有这种困扰；4.服务员撤盘要么不问把想留下的撤了，要么你告诉她撤哪些她站那等你递盘子给她。5，只有少部分位置可以看海，其他都被建筑垃圾及杂物挡住了；\\n那些说这服务好的，你们平时遇到的服务是有多不好啊！青岛最好的自助就是海景，没有之一。涵碧楼坚决不会再去,1.0,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,DATA-03,public-derived
46922,train,让人很无语的一次晚餐，定了包厢，菜品差且贵，最重要的是服务超级差，包厢服务员刚进去点菜是有人的，后来开始上菜人就不见了，菜就放在边上的服务台没人上，只能自己动手。最受不了的是吃了1个多小时才上来2个凉菜和2个热菜，其他菜一个没上。苋菜就像用盐腌制过一样，超级咸。服务员更是见不到人，这种服务和菜品，绝无下次了！真是越做越差！！！\\n如果是宴请朋友，还是慎重吧，如果谈业务，就是千万不能选，就这服务估计连业务也要黄！！！,1.0,-2,-2,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1,-2,DATA-03,public-derived
33083,train,第一次是中午去，感觉点心还不错。第二次晚上去，特地奔着点心去的，结果晚上和中午不一样。所以最后我只能点个煲仔饭，只有这个喜欢。等了很久，牛排也吃完了，煲仔饭终于上来了，结果，服务员在一旁帮我们拌的时候，把腊肉都拌出来弄到桌子上，于是放进起。。。还好我看到了。于是质问，两个服务员不同的说法，第一个说：拌饭的服务员只是把三片腊肉放在旁边盘子里；第二位说：她只拌出来一片。呵呵。是谁都知道事实如何。最后退了这份菜买单，很无语这种服务，我再三强调我都看到了，还是说谎连篇。最后10%的服务费依然付。楼面经理也道歉了，只是不想再多说。很失望，港式点心很多家做得好，至于这家永远不会再来。不缺我这个客户，我也不缺地方吃。,1.0,-2,-2,-2,-2,-1,-2,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,DATA-03,public-derived
6077,train,从来没在大众上给过差评，第一次就投给这家了。3.8折的折扣的却很吸引人。不过到那消费以后真觉得不值。我们11点多到那里，门口也写好3.8折，跟团购一样的，一楼很多人在等，我们去拿号就写三轮三号。然后开始在漫长的等待，茶水杯子都有，自己倒。也没人告诉我们等多久，楼下也没有小零食能垫垫的。快一点的时候终于是能吃了。快饿死了！那里有一个土灶台，先过去点了个28的桶骨萝卜跟38一份的猪蹄。那个骨头是那种盐渍过的，估计时间长了，一股奥味，萝卜咸死了，最后找经理退掉了。猪蹄味道还行，量不多。鱼是现挑现做。要的酸汤微辣，上来以后感觉味道一般，没有有家的好吃，里面也没什么配菜，反正失望极了，还浪费这么长时间排队，以后再也不会去了！,1.0,-2,-2,-2,-1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-1,0,-2,-2,DATA-03,public-derived
