application_id,application_at,observation_cutoff,province_code,province_name,city_code,city_name,customer_segment,channel,requested_amount_fen,declared_income_band,identity_verification_status,income_evidence_status,consent_status,application_consistency,internal_repayment_months,recent_overdue_days,debt_service_ratio_bps,data_nature
CR20260000001,2026-04-01T08:47:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,379919,5000-7999,verified,missing,confirmed,consistent,,,4315,deterministic_synthetic
CR20260000002,2026-04-01T09:34:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,459838,8000-11999,verified,missing,confirmed,consistent,,,4316,deterministic_synthetic
CR20260000003,2026-04-01T10:21:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,539757,12000+,verified,missing,confirmed,consistent,,,4317,deterministic_synthetic
CR20260000004,2026-04-01T11:08:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,619676,3000-4999,verified,missing,confirmed,consistent,,,4318,deterministic_synthetic
CR20260000005,2026-04-01T11:55:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,699595,5000-7999,verified,missing,confirmed,consistent,,,4319,deterministic_synthetic
CR20260000006,2026-04-01T12:42:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,779514,8000-11999,verified,missing,confirmed,consistent,,,4320,deterministic_synthetic
CR20260000007,2026-04-01T13:29:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,859433,12000+,verified,missing,confirmed,consistent,,,4321,deterministic_synthetic
CR20260000008,2026-04-01T14:16:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,939352,3000-4999,verified,missing,confirmed,consistent,,,4322,deterministic_synthetic
CR20260000009,2026-04-01T15:03:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1019271,5000-7999,verified,missing,confirmed,consistent,,,4323,deterministic_synthetic
CR20260000010,2026-04-01T15:50:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1099190,8000-11999,verified,missing,confirmed,consistent,,,4324,deterministic_synthetic
CR20260000011,2026-04-01T16:37:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1179109,12000+,verified,missing,confirmed,consistent,,,4325,deterministic_synthetic
CR20260000012,2026-04-01T17:24:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1259028,3000-4999,verified,missing,confirmed,consistent,,,4326,deterministic_synthetic
CR20260000013,2026-04-01T18:11:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1338947,5000-7999,verified,missing,confirmed,consistent,,,4327,deterministic_synthetic
CR20260000014,2026-04-01T18:58:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1418866,8000-11999,verified,missing,confirmed,consistent,,,4328,deterministic_synthetic
CR20260000015,2026-04-01T19:45:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1498785,12000+,verified,missing,confirmed,consistent,,,4329,deterministic_synthetic
CR20260000016,2026-04-01T20:32:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,1578704,3000-4999,verified,missing,confirmed,consistent,,,4330,deterministic_synthetic
CR20260000017,2026-04-01T21:19:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,1658623,5000-7999,verified,missing,confirmed,consistent,,,4331,deterministic_synthetic
CR20260000018,2026-04-01T22:06:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,1738542,8000-11999,verified,missing,confirmed,consistent,,,4332,deterministic_synthetic
CR20260000019,2026-04-01T22:53:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,1818461,12000+,verified,missing,confirmed,consistent,,,4333,deterministic_synthetic
CR20260000020,2026-04-01T23:40:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,1898380,3000-4999,verified,missing,confirmed,consistent,,,4334,deterministic_synthetic
CR20260000021,2026-04-02T00:27:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,1978299,5000-7999,verified,missing,confirmed,consistent,,,4335,deterministic_synthetic
CR20260000022,2026-04-02T01:14:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2058218,8000-11999,verified,missing,confirmed,consistent,,,4336,deterministic_synthetic
CR20260000023,2026-04-02T02:01:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2138137,12000+,verified,missing,confirmed,consistent,,,4337,deterministic_synthetic
CR20260000024,2026-04-02T02:48:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2218056,3000-4999,verified,missing,confirmed,consistent,,,4338,deterministic_synthetic
CR20260000025,2026-04-02T03:35:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2297975,5000-7999,verified,missing,confirmed,consistent,,,4339,deterministic_synthetic
CR20260000026,2026-04-02T04:22:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2377894,8000-11999,verified,missing,confirmed,consistent,,,4340,deterministic_synthetic
CR20260000027,2026-04-02T05:09:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2457813,12000+,verified,missing,confirmed,consistent,,,4341,deterministic_synthetic
CR20260000028,2026-04-02T05:56:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,2537732,3000-4999,verified,missing,confirmed,consistent,,,4342,deterministic_synthetic
CR20260000029,2026-04-02T06:43:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,2617651,5000-7999,verified,missing,confirmed,consistent,,,4343,deterministic_synthetic
CR20260000030,2026-04-02T07:30:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,2697570,8000-11999,verified,missing,confirmed,consistent,,,4344,deterministic_synthetic
CR20260000031,2026-04-02T08:17:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,2777489,12000+,verified,missing,confirmed,consistent,,,4345,deterministic_synthetic
CR20260000032,2026-04-02T09:04:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,2857408,3000-4999,verified,missing,confirmed,consistent,,,4346,deterministic_synthetic
CR20260000033,2026-04-02T09:51:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,2937327,5000-7999,verified,missing,confirmed,consistent,,,4347,deterministic_synthetic
CR20260000034,2026-04-02T10:38:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3017246,8000-11999,verified,missing,confirmed,consistent,,,4348,deterministic_synthetic
CR20260000035,2026-04-02T11:25:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3097165,12000+,verified,missing,confirmed,consistent,,,4349,deterministic_synthetic
CR20260000036,2026-04-02T12:12:00+08:00,2026-07-14T23:59:59+08:00,33,浙江省,3301,杭州市,new_customer,手机银行,3177084,3000-4999,verified,missing,confirmed,consistent,,,4350,deterministic_synthetic
CR20260000037,2026-04-02T12:59:00+08:00,2026-07-14T23:59:59+08:00,51,四川省,5101,成都市,new_customer,客户经理,3257003,5000-7999,verified,missing,confirmed,consistent,,,4351,deterministic_synthetic
CR20260000038,2026-04-02T13:46:00+08:00,2026-07-14T23:59:59+08:00,44,广东省,4401,广州市,new_customer,合作机构,3336922,8000-11999,verified,missing,confirmed,consistent,,,4352,deterministic_synthetic
CR20260000039,2026-04-02T14:33:00+08:00,2026-07-14T23:59:59+08:00,35,福建省,3501,福州市,new_customer,手机银行,3416841,12000+,verified,missing,confirmed,consistent,,,4353,deterministic_synthetic
CR20260000040,2026-04-02T15:20:00+08:00,2026-07-14T23:59:59+08:00,42,湖北省,4201,武汉市,new_customer,客户经理,3496760,3000-4999,verified,missing,confirmed,consistent,,,4354,deterministic_synthetic
CR20260000041,2026-04-02T16:07:00+08:00,2026-07-14T23:59:59+08:00,32,江苏省,3201,南京市,new_customer,合作机构,3576679,5000-7999,verified,missing,confirmed,consistent,,,4355,deterministic_synthetic
