No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,observed_at,missing_pollutant_count,data_nature
1,2013,3,1,0,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Aotizhongxin,2013-03-01 00:00:00,0,public-derived
21,2013,3,1,20,11.0,17.0,13.0,33.0,600.0,55.0,1.7,1029.1,-17.3,0.0,N,2.1,Aotizhongxin,2013-03-01 20:00:00,0,public-derived
41,2013,3,2,16,37.0,46.0,29.0,63.0,1000.0,38.0,3.5,1023.6,-15.2,0.0,WSW,2.5,Aotizhongxin,2013-03-02 16:00:00,0,public-derived
61,2013,3,3,12,91.0,108.0,77.0,99.0,1600.0,14.0,13.8,1012.5,-13.3,0.0,W,1.1,Aotizhongxin,2013-03-03 12:00:00,0,public-derived
81,2013,3,4,8,13.0,35.0,38.0,70.0,700.0,21.0,9.0,1020.7,-12.2,0.0,NE,3.1,Aotizhongxin,2013-03-04 08:00:00,0,public-derived
101,2013,3,5,4,115.0,151.0,76.0,92.0,2299.0,84.0,1.8,1013.7,-9.5,0.0,NE,1.5,Aotizhongxin,2013-03-05 04:00:00,0,public-derived
121,2013,3,6,0,284.0,315.0,133.0,174.0,4000.0,28.0,4.9,1008.5,-6.4,0.0,NE,1.2,Aotizhongxin,2013-03-06 00:00:00,0,public-derived
141,2013,3,6,20,254.0,396.0,107.0,154.0,4200.0,17.0,4.4,1008.2,-2.5,0.0,SSW,1.1,Aotizhongxin,2013-03-06 20:00:00,0,public-derived
161,2013,3,7,16,267.0,310.0,62.0,97.0,1899.0,80.0,17.9,997.2,-0.9,0.0,SW,1.9,Aotizhongxin,2013-03-07 16:00:00,0,public-derived
181,2013,3,8,12,104.0,194.0,37.0,101.0,1399.0,84.0,21.7,999.4,-2.3,0.0,S,3.0,Aotizhongxin,2013-03-08 12:00:00,0,public-derived
201,2013,3,9,8,104.0,139.0,70.0,82.0,2100.0,68.0,8.4,994.1,-1.7,0.0,E,2.6,Aotizhongxin,2013-03-09 08:00:00,0,public-derived
221,2013,3,10,4,18.0,63.0,17.0,76.0,500.0,82.0,-1.3,1021.9,-14.8,0.0,NNE,0.0,Aotizhongxin,2013-03-10 04:00:00,0,public-derived
241,2013,3,11,0,90.0,147.0,55.0,69.0,1100.0,84.0,0.3,1018.5,-8.7,0.0,SW,1.4,Aotizhongxin,2013-03-11 00:00:00,0,public-derived
261,2013,3,11,20,156.0,214.0,103.0,116.0,1899.0,47.0,9.8,1010.4,-2.8,0.0,SSE,1.3,Aotizhongxin,2013-03-11 20:00:00,0,public-derived
281,2013,3,12,16,133.0,102.0,17.0,63.0,1500.0,28.0,6.6,1008.1,3.2,0.0,S,0.6,Aotizhongxin,2013-03-12 16:00:00,0,public-derived
301,2013,3,13,12,12.0,6.0,10.0,19.0,400.0,71.0,7.6,1023.7,-11.7,0.0,ENE,3.5,Aotizhongxin,2013-03-13 12:00:00,0,public-derived
321,2013,3,14,8,72.0,81.0,11.0,54.0,1500.0,77.0,0.5,1024.9,-4.2,0.0,NW,2.3,Aotizhongxin,2013-03-14 08:00:00,0,public-derived
341,2013,3,15,4,173.0,189.0,36.0,82.0,2399.0,52.0,1.0,1016.2,-2.6,0.0,NE,0.8,Aotizhongxin,2013-03-15 04:00:00,0,public-derived
361,2013,3,16,0,355.0,411.0,63.0,118.0,3299.0,44.0,6.5,1015.6,0.6,0.0,NE,1.1,Aotizhongxin,2013-03-16 00:00:00,0,public-derived
381,2013,3,16,20,197.0,223.0,61.0,85.0,2200.0,94.0,10.0,1014.6,2.1,0.0,S,1.6,Aotizhongxin,2013-03-16 20:00:00,0,public-derived
401,2013,3,17,16,362.0,383.0,94.0,106.0,2299.0,105.0,15.3,996.2,4.0,0.0,SW,0.9,Aotizhongxin,2013-03-17 16:00:00,0,public-derived
421,2013,3,18,12,8.0,6.0,17.0,138.0,600.0,107.0,11.7,1003.6,-15.9,0.0,NNW,2.4,Aotizhongxin,2013-03-18 12:00:00,0,public-derived
441,2013,3,19,8,34.0,56.0,11.0,58.0,,10.0,3.0,1007.4,-2.9,0.0,NE,2.7,Aotizhongxin,2013-03-19 08:00:00,1,public-derived
461,2013,3,20,4,52.0,35.0,5.0,40.0,1000.0,10.0,-2.1,1019.0,-2.4,2.5,E,1.6,Aotizhongxin,2013-03-20 04:00:00,0,public-derived
481,2013,3,21,0,92.0,108.0,8.0,51.0,1000.0,26.0,1.9,1011.3,-2.6,0.0,SW,2.3,Aotizhongxin,2013-03-21 00:00:00,0,public-derived
501,2013,3,21,20,202.0,219.0,21.0,115.0,1600.0,14.0,5.2,1003.7,-0.2,0.0,ENE,2.5,Aotizhongxin,2013-03-21 20:00:00,0,public-derived
521,2013,3,22,16,66.0,181.0,29.0,44.0,900.0,66.0,9.3,1010.2,-2.0,0.0,SSW,2.9,Aotizhongxin,2013-03-22 16:00:00,0,public-derived
541,2013,3,23,12,81.0,111.0,76.0,66.0,,22.0,5.1,1004.4,-5.0,0.0,N,0.9,Aotizhongxin,2013-03-23 12:00:00,1,public-derived
561,2013,3,24,8,14.0,26.0,10.0,38.0,,45.0,4.3,1019.5,-15.1,0.0,NNE,3.1,Aotizhongxin,2013-03-24 08:00:00,1,public-derived
581,2013,3,25,4,80.0,136.0,18.0,92.0,,,-0.6,1017.7,-4.5,0.0,NNE,1.3,Aotizhongxin,2013-03-25 04:00:00,2,public-derived
601,2013,3,26,0,101.0,161.0,45.0,102.0,1000.0,16.0,1.7,1011.8,-1.9,0.0,NW,0.7,Aotizhongxin,2013-03-26 00:00:00,0,public-derived
621,2013,3,26,20,226.0,302.0,99.0,139.0,2299.0,2.0,10.3,1005.0,0.9,0.0,NNW,2.1,Aotizhongxin,2013-03-26 20:00:00,0,public-derived
641,2013,3,27,16,13.0,49.0,8.0,12.0,,93.6054,17.2,1003.9,-10.6,0.0,N,4.4,Aotizhongxin,2013-03-27 16:00:00,1,public-derived
661,2013,3,28,12,10.0,39.0,10.0,26.0,500.0,67.0,10.7,1016.3,-10.8,0.0,NNW,2.7,Aotizhongxin,2013-03-28 12:00:00,0,public-derived
681,2013,3,29,8,91.0,158.0,45.0,86.0,2799.0,2.0,6.5,1018.8,-5.8,0.0,E,2.3,Aotizhongxin,2013-03-29 08:00:00,0,public-derived
701,2013,3,30,4,71.0,99.0,74.0,74.0,2299.0,5.0,2.5,1016.7,-4.3,0.0,E,1.4,Aotizhongxin,2013-03-30 04:00:00,0,public-derived
721,2013,3,31,0,102.0,104.0,11.0,87.0,800.0,5.0,4.9,1017.9,1.6,0.0,SSW,1.3,Aotizhongxin,2013-03-31 00:00:00,0,public-derived
741,2013,3,31,20,235.0,239.0,16.0,81.0,1500.0,2.0,6.1,1009.8,2.7,0.0,NE,1.2,Aotizhongxin,2013-03-31 20:00:00,0,public-derived
761,2013,4,1,16,43.0,77.0,23.0,24.0,700.0,103.0,15.9,1013.0,-9.2,0.0,NNE,4.5,Aotizhongxin,2013-04-01 16:00:00,0,public-derived
781,2013,4,2,12,145.0,155.0,60.0,77.0,1800.0,64.0,15.1,1011.0,0.9,0.0,S,3.6,Aotizhongxin,2013-04-02 12:00:00,0,public-derived
801,2013,4,3,8,154.0,205.0,63.0,97.0,1500.0,11.0,12.7,1006.3,-0.2,0.0,W,2.0,Aotizhongxin,2013-04-03 08:00:00,0,public-derived
821,2013,4,4,4,46.0,81.0,70.0,57.0,2000.0,40.0,8.0,1009.3,-3.8,0.0,SSW,1.7,Aotizhongxin,2013-04-04 04:00:00,0,public-derived
841,2013,4,5,0,80.0,88.0,13.0,90.0,2299.0,2.0,5.9,1010.9,5.5,0.3,NE,1.2,Aotizhongxin,2013-04-05 00:00:00,0,public-derived
861,2013,4,5,20,3.0,6.0,3.0,10.0,300.0,80.0,7.3,1017.9,-8.7,0.0,N,4.1,Aotizhongxin,2013-04-05 20:00:00,0,public-derived
881,2013,4,6,16,4.0,12.0,8.0,11.0,400.0,89.0,15.2,1006.1,-9.7,0.0,NNE,1.3,Aotizhongxin,2013-04-06 16:00:00,0,public-derived
