facility_code,facility_label,scenario_date,domain,owner_team,request_count,p95_latency_ms,release_count,incident_minutes,recovery_minutes,data_nature
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-01,订单接入,订单平台组,8200,182,3,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-01,库存,库存平台组,7900,331,1,2,13,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-01,履约,履约平台组,6100,892,3,10,40,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-01,配送交接,配送平台组,4800,467,1,5,21,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-02,订单接入,订单平台组,8337,199,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-02,库存,库存平台组,8026,348,1,3,16,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-02,履约,履约平台组,6215,909,3,11,43,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-02,配送交接,配送平台组,4904,484,1,2,24,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-03,订单接入,订单平台组,8474,216,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-03,库存,库存平台组,8152,365,1,4,19,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-03,履约,履约平台组,6330,926,3,8,46,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-03,配送交接,配送平台组,5008,434,2,3,27,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-04,订单接入,订单平台组,8611,233,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-04,库存,库存平台组,8278,382,1,1,12,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-04,履约,履约平台组,6445,876,4,9,39,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-04,配送交接,配送平台组,5112,451,1,4,20,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-05,订单接入,订单平台组,8748,183,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-05,库存,库存平台组,8404,332,2,2,15,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-05,履约,履约平台组,6560,893,3,10,42,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-05,配送交接,配送平台组,5216,468,1,5,23,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-06,订单接入,订单平台组,8885,200,3,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-06,库存,库存平台组,8530,349,1,3,18,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-06,履约,履约平台组,6675,910,3,11,45,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-06,配送交接,配送平台组,5320,485,1,2,26,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-07,订单接入,订单平台组,9022,217,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-07,库存,库存平台组,8656,366,1,4,21,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-07,履约,履约平台组,6790,927,3,8,38,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-07,配送交接,配送平台组,5424,435,1,3,19,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-08,订单接入,订单平台组,9159,234,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-08,库存,库存平台组,8782,383,1,1,14,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-08,履约,履约平台组,6905,877,3,9,41,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-08,配送交接,配送平台组,5528,452,2,4,22,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-09,订单接入,订单平台组,9296,184,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-09,库存,库存平台组,8908,333,1,2,17,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-09,履约,履约平台组,7020,894,4,10,44,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-09,配送交接,配送平台组,5632,469,1,5,25,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-10,订单接入,订单平台组,9433,201,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-10,库存,库存平台组,9034,350,2,3,20,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-10,履约,履约平台组,7135,911,3,11,47,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-10,配送交接,配送平台组,5736,486,1,2,18,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-11,订单接入,订单平台组,9570,218,3,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-11,库存,库存平台组,9160,367,1,4,13,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-11,履约,履约平台组,7250,928,3,8,40,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-11,配送交接,配送平台组,5840,436,1,3,21,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-12,订单接入,订单平台组,9707,235,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-12,库存,库存平台组,9286,384,1,1,16,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-12,履约,履约平台组,7365,878,3,9,43,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-12,配送交接,配送平台组,5944,453,1,4,24,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-13,订单接入,订单平台组,9844,185,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-13,库存,库存平台组,9412,334,1,2,19,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-13,履约,履约平台组,7480,895,3,10,46,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-13,配送交接,配送平台组,6048,470,2,5,27,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-14,订单接入,订单平台组,9981,202,2,0,0,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-14,库存,库存平台组,9538,351,1,3,12,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-14,履约,履约平台组,7595,912,4,11,39,deterministic-synthetic-cn-operations
CN-FC-COURSE-01,中国前置仓课程场景,2026-07-14,配送交接,配送平台组,6152,487,1,2,20,deterministic-synthetic-cn-operations
