region_id,year,archive_member,source_id,row_level_link_to_sensor
CN-POND-01,1985,Region1/region1_1985_merge.tif,DATA-08A,False
CN-POND-01,1995,Region1/region1_1995_merge.tif,DATA-08A,False
CN-POND-01,2005,Region1/region1_2005_merge.tif,DATA-08A,False
CN-POND-01,2015,Region1/region1_2015_merge.tif,DATA-08A,False
CN-POND-01,2024,Region1/region1_2024_merge.tif,DATA-08A,False
CN-POND-10,1985,Region10/region10_1985_merge.tif,DATA-08A,False
CN-POND-10,1995,Region10/region10_1995_merge.tif,DATA-08A,False
CN-POND-10,2015,Region10/region10_2015_merge.tif,DATA-08A,False
CN-POND-10,2024,Region10/region10_2024_merge.tif,DATA-08A,False
CN-POND-02,1985,Region2/region2_1985_merge.tif,DATA-08A,False
CN-POND-02,1995,Region2/region2_1995_merge.tif,DATA-08A,False
CN-POND-02,2015,Region2/region2_2015_merge.tif,DATA-08A,False
CN-POND-02,2024,Region2/region2_2024_merge.tif,DATA-08A,False
CN-POND-04,1985,Region4/region4_1985_merge.tif,DATA-08A,False
CN-POND-04,1995,Region4/region4_1995_merge.tif,DATA-08A,False
CN-POND-05,1985,Region5/region5_1985_merge.tif,DATA-08A,False
CN-POND-05,1995,Region5/region5_1995_merge.tif,DATA-08A,False
CN-POND-05,2015,Region5/region5_2015_merge.tif,DATA-08A,False
CN-POND-05,2024,Region5/region5_2024_merge.tif,DATA-08A,False
CN-POND-06,1985,Region6/region6_1985_merge.tif,DATA-08A,False
CN-POND-06,1995,Region6/region6_1995_merge.tif,DATA-08A,False
CN-POND-06,2005,Region6/region6_2005_merge.tif,DATA-08A,False
CN-POND-06,2015,Region6/region6_2015_merge.tif,DATA-08A,False
CN-POND-06,2024,Region6/region6_2024_merge.tif,DATA-08A,False
CN-POND-07,1985,Region7/region7_1985_merge.tif,DATA-08A,False
CN-POND-07,1995,Region7/region7_1995_merge.tif,DATA-08A,False
CN-POND-07,2005,Region7/region7_2005_merge.tif,DATA-08A,False
CN-POND-07,2015,Region7/region7_2015_merge.tif,DATA-08A,False
CN-POND-07,2024,Region7/region7_2024_merge.tif,DATA-08A,False
CN-POND-08,1985,Region8/region8_1985_merge.tif,DATA-08A,False
CN-POND-08,1995,Region8/region8_1995_merge.tif,DATA-08A,False
CN-POND-08,2015,Region8/region8_2015_merge.tif,DATA-08A,False
CN-POND-08,2024,Region8/region8_2024_merge.tif,DATA-08A,False
CN-POND-09,1985,Region9/region9_1985_merge.tif,DATA-08A,False
CN-POND-09,1995,Region9/region9_1995_merge.tif,DATA-08A,False
CN-POND-09,2005,Region9/region9_2005_merge.tif,DATA-08A,False
CN-POND-09,2015,Region9/region9_2015_merge.tif,DATA-08A,False
CN-POND-09,2024,Region9/region9_2024_merge.tif,DATA-08A,False
