source_row_index,timestamp,TP2,TP3,H1,DV_pressure,Reservoirs,Oil_temperature,Motor_current,COMP,DV_eletric,Towers,MPG,LPS,Pressure_switch,Oil_level,Caudal_impulses,known_failure_window,source_id,maintenance_action_allowed,data_nature
5605190,2020-04-17 17:08:56,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605200,2020-04-17 17:09:08,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DATA-09,False,public-derived-contiguous-slice
5605210,2020-04-17 17:09:21,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605220,2020-04-17 17:09:33,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605230,2020-04-17 17:09:45,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605240,2020-04-17 17:09:57,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605250,2020-04-17 17:10:09,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DATA-09,False,public-derived-contiguous-slice
5605260,2020-04-17 17:10:22,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605270,2020-04-17 17:10:34,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605280,2020-04-17 17:10:45,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605290,2020-04-17 17:10:57,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605300,2020-04-17 17:11:09,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605310,2020-04-17 17:11:21,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605320,2020-04-17 17:11:33,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605330,2020-04-17 17:11:45,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DATA-09,False,public-derived-contiguous-slice
5605340,2020-04-17 17:11:58,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605350,2020-04-17 17:12:10,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605360,2020-04-17 17:12:22,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605370,2020-04-17 17:12:33,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605380,2020-04-17 17:12:45,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DATA-09,False,public-derived-contiguous-slice
5605390,2020-04-17 17:12:58,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605400,2020-04-17 17:13:10,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605410,2020-04-17 17:13:22,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605420,2020-04-17 17:13:34,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
5605430,2020-04-17 17:13:46,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,DATA-09,False,public-derived-contiguous-slice
5605440,2020-04-17 17:13:59,-0.0180000000000006,8.248,8.238,-0.0240000000000009,8.248,49.45,0.04,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,False,DATA-09,False,public-derived-contiguous-slice
