reference_id,ticket_created,date_created,issue_date,issue_type,method,issue,state,type_of_call_or_messge,type_of_property_goods_or_services,allegation_verified,data_nature
8910710,2026-07-19T04:20:56.000Z,2026-07-19T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,AL,Live Voice,Banks/financial Impersonations Services,False,public-reference-allegations-unverified
8910701,2026-07-19T04:15:10.000Z,2026-07-19T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8910697,2026-07-19T04:14:15.000Z,2026-07-19T00:00:00.000,,Internet,Wireless,Billing,AL,,,False,public-reference-allegations-unverified
8910694,2026-07-19T04:07:36.000Z,2026-07-19T00:00:00.000,,Internet,Wireless,Interference,AZ,,,False,public-reference-allegations-unverified
8910698,2026-07-19T04:14:57.000Z,2026-07-19T00:00:00.000,,Internet,Wireless,Billing,CA,,,False,public-reference-allegations-unverified
8910688,2026-07-19T04:01:27.000Z,2026-07-19T00:00:00.000,,TV,,Billing,AZ,,,False,public-reference-allegations-unverified
8910709,2026-07-19T04:20:38.000Z,2026-07-19T00:00:00.000,2026-07-16T00:00:00.000,TV,Broadcast,Indecency,OK,,,False,public-reference-allegations-unverified
8910690,2026-07-19T04:04:14.000Z,2026-07-19T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,VA,,,False,public-reference-allegations-unverified
8910717,2026-07-19T04:24:21.000Z,2026-07-19T00:00:00.000,,TV,Cable,Billing,NY,,,False,public-reference-allegations-unverified
8910692,2026-07-19T04:06:24.000Z,2026-07-19T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Number Portability (keeping your number if you change providers),MT,,,False,public-reference-allegations-unverified
8910714,2026-07-19T04:23:10.000Z,2026-07-19T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Cramming (unauthorized charges on your phone bill),LA,,,False,public-reference-allegations-unverified
8908932,2026-07-18T13:13:16.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,TX,,,False,public-reference-allegations-unverified
8909282,2026-07-18T16:13:47.000Z,2026-07-18T00:00:00.000,,Internet,Cable,Billing,CA,,,False,public-reference-allegations-unverified
8910474,2026-07-19T00:28:29.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,TX,,,False,public-reference-allegations-unverified
8909617,2026-07-18T18:09:19.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Privacy,PA,,,False,public-reference-allegations-unverified
8909867,2026-07-18T19:46:03.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,TX,,,False,public-reference-allegations-unverified
8909932,2026-07-18T20:10:16.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,CA,,,False,public-reference-allegations-unverified
8910180,2026-07-18T21:50:18.000Z,2026-07-18T00:00:00.000,2026-07-18T00:00:00.000,Phone,Wireless (cell phone/other mobile device),Unwanted Calls,CT,,,False,public-reference-allegations-unverified
8909281,2026-07-18T16:13:14.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,GA,,,False,public-reference-allegations-unverified
8909901,2026-07-18T20:01:28.000Z,2026-07-18T00:00:00.000,,Phone,Wireless (cell phone/other mobile device),Billing,IN,,,False,public-reference-allegations-unverified
