session_id,source_file,observation_label,source_batch_index,source_order,operating_mode,source_samples,cutter_torque_mean,cutter_torque_std,cutter_torque_rms,cutter_torque_abs_peak,cutter_follow_error_mean,cutter_follow_error_std,cutter_follow_error_rms,cutter_follow_error_abs_peak,film_follow_error_mean,film_follow_error_std,film_follow_error_rms,film_follow_error_abs_peak,health_deviation_index,rule_threshold,evidence_coverage,dominant_deviation_signal,rule_review_level,causal_root_cause_allowed,automatic_stop_allowed,automatic_replacement_allowed,allowed_action,data_nature
BD-0001,01-04T184148_000_mode1.csv,01-04,000,1,1,2048,-0.09799629,0.48626149,0.49603781,4.9182024,-0.00003995,0.09300461,0.09300462,1.23869705,0.86100862,0.10973296,0.86797303,1.14676475,2.09433256,3.77546317,可用,切刀跟随误差绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0002,01-04T184424_001_mode1.csv,01-04,001,2,1,2048,-0.14877628,0.4730747,0.49591739,4.72757291,-0.00029946,0.09699253,0.09699299,1.39609622,0.83689662,0.09497263,0.84226822,1.07471013,1.96937767,3.77546317,可用,切刀转矩均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0003,01-04T184835_002_mode1.csv,01-04,002,3,1,2048,-0.02152884,0.43730253,0.43783215,4.47759246,-0.00000217,0.07830023,0.07830023,1.30289363,0.82114835,0.10570246,0.82792368,1.11555159,3.85604256,3.77546317,可用,切刀转矩均值,关注,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0004,01-04T185047_003_mode1.csv,01-04,003,4,1,2048,-0.11578484,0.4966758,0.50999312,5.02693128,0.00014146,0.09861865,0.09861875,1.58523702,0.8612341,0.10118912,0.86715824,1.13102412,1.65147725,3.77546317,可用,切刀跟随误差绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0005,01-04T185257_004_mode1.csv,01-04,004,5,1,2048,-0.10634229,0.4783764,0.49005373,4.89563846,0.00007624,0.0947563,0.09475633,1.33226156,0.85899775,0.10616267,0.86553316,1.13897299,1.10908203,3.77546317,可用,薄膜跟随误差绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0006,01-05T123134_005_mode1.csv,01-05,005,6,1,2048,-0.11142193,0.48035894,0.49311211,5.02749586,0.00044801,0.09577268,0.09577373,1.41501808,0.8951726,0.10627133,0.90145859,1.15858495,2.25617566,3.77546317,可用,切刀跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0007,01-05T133345_006_mode1.csv,01-05,006,7,1,2048,-0.09192774,0.57360251,0.58092215,6.07754945,-0.00055952,0.12766201,0.12766324,1.44634532,0.93874154,0.1459468,0.95001903,1.3102585,1.2582332,3.77546317,可用,切刀跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0008,01-05T133550_007_mode1.csv,01-05,007,8,1,2048,-0.09398944,0.55614233,0.56402864,5.6960268,-0.00037774,0.12439924,0.12439981,1.38775539,0.93863475,0.14357392,0.94955183,1.33618867,1.01807993,3.77546317,可用,薄膜跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0009,01-05T140727_008_mode1.csv,01-05,008,9,1,2048,-0.1665149,0.52944205,0.55500999,5.69332695,-0.00038322,0.1187843,0.11878492,1.37844419,0.92429299,0.13322634,0.93384517,1.26224899,2.7814562,3.77546317,可用,切刀转矩均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0010,01-05T140919_009_mode1.csv,01-05,009,10,1,2048,-0.10575822,0.54082767,0.55107111,5.93306922,-0.00053638,0.12091716,0.12091835,1.38648843,0.93050212,0.14070525,0.94108032,1.29140603,1.17750642,3.77546317,可用,切刀跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0011,01-05T141105_010_mode1.csv,01-05,010,11,1,2048,-0.09435485,0.54565229,0.55375018,6.04466724,-0.00045587,0.12204534,0.12204619,1.38317871,0.92407869,0.14243801,0.93499198,1.3117392,0.89667911,3.77546317,可用,切刀跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0012,01-05T141248_011_mode1.csv,01-05,011,12,1,2048,-0.10629273,0.54282229,0.55313125,6.33388423,0.00004275,0.12630838,0.12630839,1.59840345,0.91831292,0.13806635,0.92863391,1.28841578,1.79379545,3.77546317,可用,切刀跟随误差绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0013,01-05T141453_012_mode1.csv,01-05,012,13,1,2048,-0.07561404,0.50513899,0.51076696,5.88987636,-0.00059506,0.103518,0.10351971,1.30505275,0.89694507,0.12747671,0.90595848,1.2611345,1.38217375,3.77546317,可用,切刀跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0014,01-05T141642_013_mode1.csv,01-05,013,14,1,2048,-0.11028174,0.53723241,0.54843479,6.28870105,-0.00040632,0.1234006,0.12340127,1.48850154,0.91407581,0.13933431,0.92463433,1.25414061,0.78503313,3.77546317,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0015,01-05T141834_014_mode1.csv,01-05,014,15,1,2048,-0.12251594,0.54367593,0.55730932,6.30802774,-0.00027067,0.11882975,0.11883005,1.4243946,0.91742777,0.13865211,0.92784595,1.26630353,0.80949865,3.77546317,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0016,01-05T142025_015_mode1.csv,01-05,015,16,1,2048,-0.10706488,0.53864631,0.5491837,6.31279516,-0.00009268,0.12301161,0.12301165,1.45148563,0.9163574,0.14030512,0.92703636,1.32427501,0.81553369,3.77546317,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0017,01-05T142208_016_mode1.csv,01-05,016,17,1,2048,-0.10930025,0.54028061,0.55122562,6.33706808,-0.0000997,0.12105273,0.12105277,1.44295835,0.90730214,0.1384545,0.91780544,1.2566384,0.8462606,3.77546317,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0018,01-05T142356_017_mode1.csv,01-05,017,18,1,2048,-0.09503289,0.54241661,0.5506787,6.15698337,-0.00020224,0.12212853,0.1221287,1.4552617,0.90684606,0.13616495,0.91701181,1.2516992,0.71018135,3.77546317,可用,切刀跟随误差标准差,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0019,01-05T143934_018_mode1.csv,01-05,018,19,1,2048,-0.10519845,0.47650369,0.48797795,5.48140335,-0.00001428,0.09898541,0.09898541,1.3596673,0.86105773,0.10243325,0.86712917,1.1587516,1.12656388,3.77546317,可用,薄膜跟随误差标准差,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0020,01-06T153013_019_mode2.csv,01-06,019,20,2,2048,-0.12389507,0.52020118,0.53475159,4.70236635,-0.00020998,0.09133537,0.09133561,1.53468608,0.8949481,0.12307005,0.90337054,1.16607761,1.69301874,12,可用,薄膜跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0021,01-06T153154_020_mode2.csv,01-06,020,21,2,2048,-0.10495399,0.46689729,0.47854824,4.69380712,0.0005485,0.07474516,0.07474717,1.42327404,0.89774014,0.11850325,0.90552768,1.1761955,2.64351679,12,可用,切刀跟随误差标准差,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0022,01-06T153358_021_mode2.csv,01-06,021,22,2,2048,-0.18392179,0.49302177,0.52621068,4.60891771,0.0004143,0.09015702,0.09015797,1.42251777,0.87111064,0.12011699,0.87935308,1.16376435,1.78272804,12,可用,切刀转矩均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0023,01-06T153535_022_mode2.csv,01-06,022,23,2,2048,-0.13961618,0.5168907,0.53541449,4.68638515,0.000391,0.08896888,0.08896974,1.4474287,0.87998346,0.11713817,0.88774559,1.15734982,0.88918089,12,可用,薄膜跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0024,01-06T154219_023_mode2.csv,01-06,023,24,2,2048,-0.17346868,0.5051346,0.5340902,4.51326084,-0.0007135,0.09100409,0.09100689,1.32707118,0.87191759,0.12118075,0.88029828,1.17427408,2.00710794,12,可用,切刀跟随误差绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0025,01-06T155351_024_mode2.csv,01-06,024,25,2,2048,-0.147866,0.51489512,0.53570639,4.4623475,0.00018869,0.09297817,0.09297836,1.54564571,0.87598668,0.12278578,0.88455018,1.1645838,1.07915744,12,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0026,01-06T155536_025_mode2.csv,01-06,025,26,2,2048,-0.14786447,0.50410194,0.52534053,4.57476615,0.00024672,0.09083059,0.09083092,1.51873874,0.876109,0.12023663,0.88432111,1.1735357,0.68106132,12,可用,薄膜跟随误差均值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
BD-0027,01-06T155724_026_mode2.csv,01-06,026,27,2,2048,-0.12306257,0.51709921,0.53154115,4.44320774,0.00010655,0.09099537,0.09099543,1.4708271,0.88162612,0.11787416,0.88947116,1.15780735,1.19767211,12,可用,切刀转矩绝对峰值,常规,False,False,False,register_maintenance_candidate,public-derived-session-summary
