sample_time,original_missing,primary_desuperheater_water_flow_imputed,imputation_source,data_nature
2022-03-28 06:22:24,True,1.71,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:29,True,1.71,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:34,True,1.72,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:39,True,1.73,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:44,True,1.73,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:49,True,1.74,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:54,True,1.74,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:22:59,True,1.75,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:04,True,1.76,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:09,True,1.76,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:14,True,1.77,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:19,True,1.77,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:24,True,1.78,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:29,True,1.79,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:34,True,1.79,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:39,True,1.8,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:44,True,1.8,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:49,True,1.81,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:54,True,1.82,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:23:59,True,1.82,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:04,True,1.83,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:09,True,1.83,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:14,True,1.84,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:19,True,1.84,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:24,True,1.85,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:29,True,1.85,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:34,True,1.86,来源AutoReg,public-source-imputation-evidence
2022-03-28 06:24:39,True,1.86,来源AutoReg,public-source-imputation-evidence
2022-03-30 05:54:44,True,2.01,来源AutoReg,public-source-imputation-evidence
2022-03-30 05:54:49,True,2.02,来源AutoReg,public-source-imputation-evidence
