event_id,transport_id,flow_token,event_version,event_time,received_at,source_system,from_department,to_department,bed_request_id,role,actor_id,event_type,co_sign_status,privacy_scope,clinical_decision_allowed,conflict_type,late_event
TRN-0001-01,TRN-0001,FLOW-0001,1,2026-07-03T08:07:00+08:00,2026-07-03T08:08:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-008,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0001-02,TRN-0001,FLOW-0001,2,2026-07-03T08:11:00+08:00,2026-07-03T08:13:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-008,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0001-03,TRN-0001,FLOW-0001,3,2026-07-03T08:15:00+08:00,2026-07-03T08:17:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-008,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0001-04,TRN-0001,FLOW-0001,4,2026-07-03T08:19:00+08:00,2026-07-03T08:21:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-008,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0001-05,TRN-0001,FLOW-0001,5,2026-07-03T08:23:00+08:00,2026-07-03T08:25:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-008,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0001-06,TRN-0001,FLOW-0001,6,2026-07-03T08:27:00+08:00,2026-07-03T09:09:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-008,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,late_event,True
TRN-0002-01,TRN-0002,FLOW-0002,1,2026-07-03T08:14:00+08:00,2026-07-03T08:15:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-015,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0002-02,TRN-0002,FLOW-0002,2,2026-07-03T08:18:00+08:00,2026-07-03T08:20:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-015,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0002-03,TRN-0002,FLOW-0002,3,2026-07-03T08:22:00+08:00,2026-07-03T08:24:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-015,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0002-04,TRN-0002,FLOW-0002,4,2026-07-03T08:26:00+08:00,2026-07-03T08:28:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-015,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0002-05,TRN-0002,FLOW-0002,5,2026-07-03T08:30:00+08:00,2026-07-03T08:32:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-015,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0002-06,TRN-0002,FLOW-0002,6,2026-07-03T08:19:00+08:00,2026-07-03T08:39:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-015,coordination_lead,COORD-01,correction_appended,pending,operational_only,False,out_of_order,False
TRN-0003-01,TRN-0003,FLOW-0003,1,2026-07-03T08:21:00+08:00,2026-07-03T08:22:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-022,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0003-02,TRN-0003,FLOW-0003,2,2026-07-03T08:25:00+08:00,2026-07-03T08:27:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-022,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0003-03,TRN-0003,FLOW-0003,3,2026-07-03T08:29:00+08:00,2026-07-03T08:31:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-022,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0003-04,TRN-0003,FLOW-0003,4,2026-07-03T08:33:00+08:00,2026-07-03T08:35:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-022,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0003-05,TRN-0003,FLOW-0003,5,2026-07-03T08:37:00+08:00,2026-07-03T08:39:00+08:00,OPS_AUDIT,急诊观察区,内科留观区,BED-022,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0003-06,TRN-0003,FLOW-0003,6,2026-07-03T08:41:00+08:00,2026-07-03T08:43:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-022,coordination_lead,COORD-01,handoff_received,pending,operational_only,False,duplicate,False
TRN-0004-01,TRN-0004,FLOW-0004,1,2026-07-03T08:28:00+08:00,2026-07-03T08:29:00+08:00,ED_BOARD,急诊观察区,外科留观区,BED-029,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0004-02,TRN-0004,FLOW-0004,2,2026-07-03T08:32:00+08:00,2026-07-03T08:34:00+08:00,TRANSPORT_DISPATCH,急诊观察区,外科留观区,BED-029,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0004-03,TRN-0004,FLOW-0004,3,2026-07-03T08:36:00+08:00,2026-07-03T08:38:00+08:00,BED_CONTROL,急诊观察区,外科留观区,BED-029,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0004-04,TRN-0004,FLOW-0004,4,2026-07-03T08:40:00+08:00,2026-07-03T08:42:00+08:00,WARD_BOARD,急诊观察区,外科留观区,BED-029,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0004-05,TRN-0004,FLOW-0004,5,2026-07-03T08:44:00+08:00,2026-07-03T08:46:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-029,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0004-06,TRN-0004,FLOW-0004,6,2026-07-03T08:48:00+08:00,2026-07-03T08:50:00+08:00,OPS_AUDIT,急诊观察区,外科留观区,BED-029,coordination_lead,COORD-01,correction_appended,missing,operational_only,False,missing,False
TRN-0005-01,TRN-0005,FLOW-0005,1,2026-07-03T08:35:00+08:00,2026-07-03T08:36:00+08:00,ED_BOARD,急诊抢救区,日间诊疗区,BED-036,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0005-02,TRN-0005,FLOW-0005,2,2026-07-03T08:39:00+08:00,2026-07-03T08:41:00+08:00,TRANSPORT_DISPATCH,急诊抢救区,日间诊疗区,BED-036,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0005-03,TRN-0005,FLOW-0005,3,2026-07-03T08:43:00+08:00,2026-07-03T08:45:00+08:00,BED_CONTROL,急诊抢救区,日间诊疗区,BED-036,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0005-04,TRN-0005,FLOW-0005,4,2026-07-03T08:47:00+08:00,2026-07-03T08:49:00+08:00,WARD_BOARD,急诊抢救区,日间诊疗区,BED-036,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
TRN-0005-05,TRN-0005,FLOW-0005,5,2026-07-03T08:51:00+08:00,2026-07-03T08:53:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-036,coordination_lead,COORD-01,coordination_snapshot,pending,operational_only,False,none,False
TRN-0005-06,TRN-0005,FLOW-0005,6,2026-07-03T08:55:00+08:00,2026-07-03T08:57:00+08:00,OPS_AUDIT,急诊抢救区,日间诊疗区,BED-036,coordination_lead,COORD-01,correction_appended,confirmed_and_cancelled,operational_only,False,mutually_exclusive,False
TRN-0006-01,TRN-0006,FLOW-0006,1,2026-07-03T08:42:00+08:00,2026-07-03T08:43:00+08:00,ED_BOARD,急诊观察区,内科留观区,BED-043,emergency_nurse,ER-N-01,transport_requested,pending,operational_only,False,none,False
TRN-0006-02,TRN-0006,FLOW-0006,2,2026-07-03T08:46:00+08:00,2026-07-03T08:48:00+08:00,TRANSPORT_DISPATCH,急诊观察区,内科留观区,BED-043,transport_coordinator,TR-C-01,transport_assigned,pending,operational_only,False,none,False
TRN-0006-03,TRN-0006,FLOW-0006,3,2026-07-03T08:50:00+08:00,2026-07-03T08:52:00+08:00,BED_CONTROL,急诊观察区,内科留观区,BED-043,bed_coordinator,BED-C-01,bed_request_confirmed,pending,operational_only,False,none,False
TRN-0006-04,TRN-0006,FLOW-0006,4,2026-07-03T08:54:00+08:00,2026-07-03T08:56:00+08:00,WARD_BOARD,急诊观察区,内科留观区,BED-043,bed_coordinator,BED-C-01,handoff_received,pending,operational_only,False,none,False
