order_id,day_index,arrival_minute,item_count,item_ids_preview,is_observed_production_order,data_nature
D01-O0001,1,0.0,8,I0344;I0353;I0416;I0638;I0718;I0813;I0956;I1021,False,public-benchmark-derived
D01-O0002,1,0.1566,10,I0048;I0134;I0614;I0690;I0762;I0772;I0800;I0954;I1026;I1180,False,public-benchmark-derived
D01-O0003,1,0.3066,2,I0264;I1120,False,public-benchmark-derived
D01-O0004,1,0.3714,3,I0728;I1008;I1163,False,public-benchmark-derived
D01-O0005,1,0.8638,5,I0159;I0226;I0262;I1026;I1043,False,public-benchmark-derived
D01-O0006,1,0.9905,9,I0225;I0419;I0453;I0769;I0860;I0986;I1005;I1023;I1058,False,public-benchmark-derived
D01-O0007,1,1.0759,6,I0061;I0170;I0433;I0527;I0568;I1020,False,public-benchmark-derived
D01-O0008,1,1.1788,1,I1159,False,public-benchmark-derived
D01-O0009,1,1.1951,1,I0520,False,public-benchmark-derived
D01-O0010,1,1.2385,1,I1160,False,public-benchmark-derived
D01-O0011,1,1.3994,6,I0034;I0186;I0374;I0440;I0768;I0958,False,public-benchmark-derived
D01-O0012,1,1.4405,4,I0536;I0930;I0995;I1130,False,public-benchmark-derived
D01-O0013,1,1.6604,4,I0134;I0468;I0574;I0954,False,public-benchmark-derived
D01-O0014,1,1.7807,1,I0208,False,public-benchmark-derived
D01-O0015,1,1.8403,4,I0044;I0058;I1151;I1163,False,public-benchmark-derived
D01-O0016,1,2.5196,1,I0239,False,public-benchmark-derived
D01-O0017,1,2.6438,2,I0100;I0758,False,public-benchmark-derived
D01-O0018,1,2.9121,2,I0952;I1121,False,public-benchmark-derived
D01-O0019,1,3.192,8,I0012;I0028;I0233;I0362;I0409;I0803;I0900;I1103,False,public-benchmark-derived
D01-O0020,1,3.2217,6,I0450;I0515;I0646;I0796;I0805;I1045,False,public-benchmark-derived
D01-O0021,1,3.4922,9,I0070;I0389;I0393;I0530;I0626;I0699;I0747;I0773;I1152,False,public-benchmark-derived
D01-O0022,1,3.5174,10,I0189;I0253;I0256;I0344;I0493;I0584;I0595;I0602;I1010;I1045,False,public-benchmark-derived
D01-O0023,1,3.5659,1,I0372,False,public-benchmark-derived
D01-O0024,1,3.5949,5,I0616;I1021;I1064;I1092;I1193,False,public-benchmark-derived
D01-O0025,1,4.0102,7,I0005;I0408;I0452;I0514;I0928;I0978;I1192,False,public-benchmark-derived
D01-O0026,1,4.346,3,I0408;I0959;I1169,False,public-benchmark-derived
D01-O0027,1,4.5374,10,I0025;I0178;I0310;I0399;I0689;I0722;I0782;I0850;I0986;I1057,False,public-benchmark-derived
D01-O0028,1,5.2278,5,I0236;I0533;I0540;I0573;I0892,False,public-benchmark-derived
D01-O0029,1,5.3486,8,I0059;I0110;I0133;I0165;I0173;I0241;I0504;I0570,False,public-benchmark-derived
D01-O0030,1,5.4238,4,I0238;I0456;I0773;I0893,False,public-benchmark-derived
D01-O0031,1,5.6024,5,I0302;I0419;I1034;I1035;I1071,False,public-benchmark-derived
D01-O0032,1,5.6503,2,I0106;I0756,False,public-benchmark-derived
D01-O0033,1,5.6889,8,I0024;I0096;I0231;I0273;I0412;I0625;I0842;I0850,False,public-benchmark-derived
D01-O0034,1,5.7017,1,I0282,False,public-benchmark-derived
D01-O0035,1,5.7078,2,I0438;I1074,False,public-benchmark-derived
D01-O0036,1,5.9334,6,I0284;I0386;I0401;I0485;I0900;I0993,False,public-benchmark-derived
D01-O0037,1,6.8223,9,I0265;I0279;I0311;I0612;I0706;I1008;I1037;I1042;I1093,False,public-benchmark-derived
D01-O0038,1,7.0314,8,I0299;I0363;I0488;I0806;I0812;I0965;I1034;I1124,False,public-benchmark-derived
