task_id,received_at,category,subcategory,province,city,channel,priority,external_lookup_scenario,routing_queue,evidence_complete,allegation_verified,aggregate_anchor,aggregate_share,data_nature
CN-TEL-2025Q2-0001,2025-07-01T08:00:00,资费争议,流量超套计费,四川,成都,企业客服热线,常规,not_committed,四川服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0002,2025-07-01T08:11:00,资费争议,合约套餐变更,广东,广州,运营商应用,关注,committed_response_lost,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0003,2025-07-01T08:22:00,资费争议,账单明细异议,河南,郑州,线下营业厅,高,effect_status_unknown,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0004,2025-07-01T08:33:00,资费争议,流量超套计费,湖北,武汉,互联网服务入口,常规,not_committed,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0005,2025-07-01T08:44:00,资费争议,合约套餐变更,浙江,杭州,企业客服热线,关注,committed_response_lost,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0006,2025-07-01T08:55:00,资费争议,账单明细异议,陕西,西安,运营商应用,高,effect_status_unknown,陕西服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0007,2025-07-01T09:06:00,资费争议,流量超套计费,辽宁,沈阳,线下营业厅,常规,not_committed,辽宁服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0008,2025-07-01T09:17:00,资费争议,合约套餐变更,福建,福州,互联网服务入口,关注,committed_response_lost,福建服务复核队列,False,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0009,2025-07-01T09:28:00,资费争议,账单明细异议,四川,成都,企业客服热线,高,effect_status_unknown,四川服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0010,2025-07-01T09:39:00,资费争议,流量超套计费,广东,广州,运营商应用,常规,not_committed,广东服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0011,2025-07-01T09:50:00,资费争议,合约套餐变更,河南,郑州,线下营业厅,关注,committed_response_lost,河南服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0012,2025-07-01T10:01:00,资费争议,账单明细异议,湖北,武汉,互联网服务入口,高,effect_status_unknown,湖北服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
CN-TEL-2025Q2-0013,2025-07-01T10:12:00,资费争议,流量超套计费,浙江,杭州,企业客服热线,常规,not_committed,浙江服务复核队列,True,False,MIIT-2025-Q2,0.404,deterministic-synthetic-cn-operations
