investigation_id,event_id,event_time,province,county,route_id,vehicle_code,container_code,logger_code,temperature_c,reference_profile_type,route_record_status,calibration_status,handoff_status,sample_completeness,offline_minutes,evidence_digest,policy_version,usability_decision_allowed,data_nature
CCI-2026-001,CN-CC-01-001,2026-07-06T07:30:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,4.08,freeze_preventive,complete,valid,missing,1.0,0,568b26c8d7067cdef8d62fdce90dcf5b6dadd883ec4dccf9a812f313f04780bd,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-002,2026-07-06T07:35:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,4.36,freeze_preventive,complete,valid,missing,1.0,0,390a84973a8f951c554ad510536b5393ea6ef7fb72fe75883a28d5a9174a6a27,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-003,2026-07-06T07:40:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,4.64,freeze_preventive,complete,valid,missing,1.0,0,2574513beedf99f0794db5860032ee4859ac3caf9a42c896634c338221133d2a,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-004,2026-07-06T07:45:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,4.92,freeze_preventive,complete,valid,missing,1.0,0,ba9c59570fb2a99ef8b43ef81f03c504d8fe0cf4bc8dc9d40ae667744958d42a,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-005,2026-07-06T07:50:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,5.2,freeze_preventive,complete,valid,missing,1.0,0,dcab16ea66e632d351e2290df004f17fc2eac555479fa8b0a35b47b154418b78,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-006,2026-07-06T07:55:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,5.48,freeze_preventive,complete,valid,missing,1.0,0,f5a5f9b8347aebfe0ad0892dc982251e793e208409ccfd3a71f04279e64fa6cd,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-007,2026-07-06T08:00:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,5.76,freeze_preventive,complete,valid,missing,1.0,0,f935c98e32a063158743eaa6005c691b2e713c7ae4a81e8fa03b7925396e8aab,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-008,2026-07-06T08:05:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,6.04,freeze_preventive,complete,valid,missing,1.0,0,86756e8f3de0d2f5bc295ff5cf0d41937e36e14b8bf0180e1e625034dc43187b,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-009,2026-07-06T08:10:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,6.32,freeze_preventive,complete,valid,missing,1.0,0,362a21c16b7546fc996558c0e3c86aad974330b7e8b965d4263e28ed932d2f60,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
CCI-2026-001,CN-CC-01-010,2026-07-06T08:15:00,四川,彭州市,CN-SC-PZ-01,COURSE-VEH-01,COURSE-BOX-01,COURSE-LOGGER-01,8.18,freeze_preventive,complete,valid,missing,1.0,0,4dec4e8a6207bd204673f08cde29f8ad4d24166c5642f12ed7bc086562833713,COLD-CHAIN-INVESTIGATION-2026.1,False,deterministic-synthetic-cn-operations
