event_id,start_hour,end_hour,duration_hours,peak_silica,mean_silica,dominant_deviation,recovery_hour,rule_review_state,rule_threshold,data_nature
FQ-0001,2017-03-10 18:00:00,2017-03-10 18:00:00,1,3.570000000000005,3.570000000000005,淀粉流量:2.51|5号浮选柱风量:1.95|4号浮选柱风量:-1.79,2017-03-10 19:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0002,2017-03-11 03:00:00,2017-03-11 08:00:00,6,5.360000000000012,4.473333333333338,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱液位:1.75,2017-03-11 09:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0003,2017-03-11 19:00:00,2017-03-12 02:00:00,8,5.059999999999977,4.153749999999999,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.49,2017-03-12 03:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0004,2017-03-12 10:00:00,2017-03-12 15:00:00,6,5.039999999999989,4.059166666666665,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-03-12 16:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0005,2017-03-13 11:00:00,2017-03-13 11:00:00,1,3.089999999999992,3.089999999999992,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱液位:1.76,2017-03-13 12:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0006,2017-03-13 18:00:00,2017-03-13 18:00:00,1,3.0099999999999936,3.0099999999999936,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱液位:1.77,2017-03-13 19:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0007,2017-03-13 20:00:00,2017-03-14 08:00:00,13,4.710000000000009,4.237692307692306,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.50,2017-03-14 09:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0008,2017-03-14 10:00:00,2017-03-14 10:00:00,1,5.299999999999983,5.299999999999983,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|矿浆pH:-1.60,2017-03-14 11:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0009,2017-03-14 16:00:00,2017-03-14 21:00:00,6,4.259999999999993,3.533333333333331,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|7号浮选柱风量:-1.56,2017-03-14 22:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0010,2017-03-15 15:00:00,2017-03-15 16:00:00,2,3.860000000000011,3.6900000000000013,5号浮选柱风量:1.95|7号浮选柱液位:1.81|4号浮选柱风量:-1.79,2017-03-15 17:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0011,2017-03-16 05:00:00,2017-03-16 05:00:00,1,3.7799999999999834,3.7799999999999834,5号浮选柱风量:1.95|4号浮选柱风量:-1.79|胺类捕收剂流量:-1.69,2017-03-29 12:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
FQ-0012,2017-03-29 16:00:00,2017-03-29 16:00:00,1,5.5,5.5,3号浮选柱风量:-2.86|2号浮选柱风量:-2.75|1号浮选柱风量:-2.73,2017-03-29 17:00:00,待工艺工程师复核,3,public-derived-rule-event-snapshot
