wafer_id,test_timestamp,quality_label,sensor_161,sensor_159,sensor_021,sensor_024,sensor_158,sensor_160,sensor_294,sensor_162,sensor_296,sensor_295,sensor_022,sensor_090,review_priority,causal_root_cause_allowed,automatic_scrap_allowed,allowed_action,data_nature
SECOM-0001,19/07/2008 11:55:00,pass,1066,1017,-5419,751,,967,418.1363,368,496.1582,398.3185,2916.5,8671.9301,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0002,19/07/2008 12:32:00,pass,297,568,-5441.5,-1640.25,,59,233.9865,3277,139.2082,26.5879,2604.25,8407.0299,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0003,19/07/2008 13:17:00,fail,759,562,-5447.75,-1916.5,,788,251.4536,2100,325.0672,329.6406,2701.75,9317.1698,quality-gate-review,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0004,19/07/2008 14:43:00,pass,3433,859,-5468.25,-1657.25,,355,415.5048,3004,1572.6896,157.0889,2648.25,8205.7,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0005,19/07/2008 15:22:00,pass,1747,699,-5476.25,117,,283,319.1252,1443,799.5884,128.0296,2635.25,9014.46,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0006,19/07/2008 17:53:00,pass,323,2089,-6058,193.75,,910,982.8228,1157,152.4347,384.6101,2953.75,7869.7,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0007,19/07/2008 19:44:00,pass,441,2117,-6154,580.25,,643,1000.9579,565,181.7863,276.541,2691.75,9238.3601,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0008,19/07/2008 19:45:00,pass,1429,233,-5395.5,-737,,346,106.4973,807,652.0774,151.6605,2551.75,9117.3699,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0009,19/07/2008 20:24:00,pass,3961,5781,-4196.5,622.75,,2900,2803.1611,948,1965.4555,1377.7589,2059.5,8615.27,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
SECOM-0010,19/07/2008 21:35:00,pass,422,862,-5357.5,873.75,,882,354.072,186,179.359,392.7259,2872.5,9126.72,routine-gate,False,False,submit_quality_review,public-derived-fixed-sensor-slice
