session_id,sample_index,time_seconds,cutter_motor_torque,cutter_follow_error,film_follow_error,spindle_speed,data_nature
BD-0001,1,0.00800000,0.19960282,0.02742004,0.89954280,1379.99975585,public-waveform-fixed-slice
BD-0001,2,0.01199999,0.28162419,0.00250244,0.87407165,1379.99975585,public-waveform-fixed-slice
BD-0001,3,0.01599999,0.34931501,-0.01808547,0.87980616,1379.99975585,public-waveform-fixed-slice
BD-0001,4,0.01999999,0.44444981,-0.05467987,0.83750003,1379.99975585,public-waveform-fixed-slice
BD-0001,5,0.02399999,0.48092296,-0.04277038,0.90534675,1379.99975585,public-waveform-fixed-slice
BD-0001,6,0.02799999,0.35521143,0.00555229,0.85896575,1379.99975585,public-waveform-fixed-slice
BD-0001,7,0.03199999,0.34794566,0.01041221,0.88848102,1379.99975585,public-waveform-fixed-slice
BD-0001,8,0.03599999,0.46915343,-0.02419662,0.91838729,1379.99975585,public-waveform-fixed-slice
BD-0001,9,0.03999999,0.51334095,-0.02801513,0.91005718,1379.99975585,public-waveform-fixed-slice
BD-0001,10,0.04399999,0.51530283,-0.01962280,0.97215402,1379.99975585,public-waveform-fixed-slice
BD-0001,11,0.04799999,0.52243286,-0.01247787,0.97225421,1379.99975585,public-waveform-fixed-slice
BD-0001,12,0.05199999,0.40706369,0.02706527,0.93713593,1379.99975585,public-waveform-fixed-slice
BD-0001,13,0.05599999,0.37659817,0.02910614,0.94684696,1379.99975585,public-waveform-fixed-slice
BD-0001,14,0.05999999,0.40454843,0.02050018,0.94130122,1379.99975585,public-waveform-fixed-slice
BD-0001,15,0.06399999,0.42223200,0.01313209,0.89247864,1379.99975585,public-waveform-fixed-slice
BD-0001,16,0.06799999,0.36588674,0.02456283,0.94477868,1379.99975585,public-waveform-fixed-slice
BD-0001,17,0.07199999,0.42783433,-0.00024223,0.96827155,1379.99975585,public-waveform-fixed-slice
BD-0001,18,0.07599999,0.40559631,0.01059532,0.96304732,1379.99975585,public-waveform-fixed-slice
BD-0001,19,0.07999999,0.39603045,0.01041984,0.99857389,1379.99975585,public-waveform-fixed-slice
BD-0001,20,0.08399999,0.39858719,0.00532913,0.98303735,1379.99975585,public-waveform-fixed-slice
BD-0001,21,0.08799999,0.31377649,0.02907562,0.96540927,1379.99975585,public-waveform-fixed-slice
BD-0001,22,0.09199999,0.41824141,0.00329971,1.02012360,1379.99975585,public-waveform-fixed-slice
BD-0001,23,0.09599999,0.49337756,-0.01360511,0.97746300,1379.99975585,public-waveform-fixed-slice
BD-0001,24,0.09999999,0.45299518,-0.00118446,0.93364620,1379.99975585,public-waveform-fixed-slice
BD-0001,25,0.10399999,0.44638204,-0.00440025,0.96769511,1379.99975585,public-waveform-fixed-slice
BD-0001,26,0.10799999,0.28397160,0.04303169,0.95204114,1379.99975585,public-waveform-fixed-slice
BD-0001,27,0.11199999,0.39125552,0.00849151,0.95627152,1379.99975585,public-waveform-fixed-slice
BD-0001,28,0.11599999,0.44198888,-0.00938224,0.95465642,1379.99975585,public-waveform-fixed-slice
BD-0001,29,0.11999999,0.37616381,0.00839614,1.01956307,1379.99975585,public-waveform-fixed-slice
BD-0001,30,0.12399999,0.46490502,-0.02219390,1.02321100,1379.99975585,public-waveform-fixed-slice
BD-0001,31,0.12799999,0.54153072,-0.03960418,1.03605592,1379.99975585,public-waveform-fixed-slice
BD-0001,32,0.13199999,0.49689278,-0.02074813,1.01356399,1379.99975585,public-waveform-fixed-slice
BD-0001,33,0.13599999,0.55070799,-0.03527259,1.01372385,1379.99975585,public-waveform-fixed-slice
BD-0001,34,0.13999999,0.59356218,-0.03259277,1.08782005,1379.99975585,public-waveform-fixed-slice
BD-0001,35,0.14399999,0.58194714,-0.01704788,1.07219803,1379.99975585,public-waveform-fixed-slice
BD-0001,36,0.14799999,0.45377495,0.03824615,1.00243592,1379.99975585,public-waveform-fixed-slice
BD-0001,37,0.15199999,0.35408630,0.05073165,0.98091042,1379.99975585,public-waveform-fixed-slice
BD-0001,38,0.15599998,0.39294812,0.02609634,0.97658693,1379.99975585,public-waveform-fixed-slice
