event_id,start_time,end_time,duration_seconds,direction,minimum_temperature,maximum_temperature,source_samples,recovery_time,data_quality_state,rule_review_state,data_nature
BT-0001,2022-03-27 14:56:44,2022-03-27 15:00:44,245,低于来源区间,529.29,529.95,49,2022-03-27 15:00:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0002,2022-03-27 16:22:14,2022-03-27 16:37:04,895,低于来源区间,527.85,529.93,179,2022-03-27 16:37:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0003,2022-03-27 17:55:49,2022-03-27 17:59:49,245,高于来源区间,545.06,545.97,49,2022-03-27 17:59:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0004,2022-03-27 18:14:44,2022-03-27 18:18:49,250,高于来源区间,545.09,546.31,50,2022-03-27 18:18:54,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0005,2022-03-27 19:01:54,2022-03-27 19:09:44,475,高于来源区间,545.01,546.77,95,2022-03-27 19:09:49,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0006,2022-03-27 22:32:59,2022-03-27 22:42:04,550,低于来源区间,526.69,529.95,110,2022-03-27 22:42:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0007,2022-03-27 23:15:44,2022-03-27 23:19:24,225,高于来源区间,545.02,546.36,45,2022-03-27 23:19:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0008,2022-03-28 05:27:49,2022-03-28 05:41:59,855,低于来源区间,528.12,529.98,171,2022-03-28 05:42:04,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0009,2022-03-28 05:42:09,2022-03-28 05:42:09,5,低于来源区间,529.98,529.98,1,2022-03-28 05:42:14,完整,短时偏离记录,public-derived-rule-event-snapshot
BT-0010,2022-03-28 05:43:29,2022-03-28 05:56:54,810,低于来源区间,526.47,529.97,162,2022-03-28 05:56:59,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0011,2022-03-28 06:28:39,2022-03-28 06:31:14,160,高于来源区间,545.02,545.6,32,2022-03-28 06:31:19,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0012,2022-03-28 06:49:14,2022-03-28 06:52:24,195,高于来源区间,545.01,545.38,39,2022-03-28 06:52:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0013,2022-03-28 09:42:19,2022-03-28 09:47:24,310,低于来源区间,527.28,529.92,62,2022-03-28 09:47:29,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
BT-0014,2022-03-28 10:36:44,2022-03-28 10:45:04,505,低于来源区间,526.96,529.99,101,2022-03-28 10:45:09,完整,待锅炉运行工程师复核,public-derived-rule-event-snapshot
