cycle_id,main_pressure_mean,return_pressure_mean,system_pressure_mean,motor_power_mean,main_flow_mean,tank_temperature_mean,system_vibration_mean,cooler_condition,cooler_state,cooler_severity,valve_condition,valve_state,valve_severity,pump_condition,pump_state,pump_severity,accumulator_condition,accumulator_state,accumulator_severity,stability_flag,stability_label,overall_severity,overall_severity_label,affected_component_count,automatic_maintenance_allowed,allowed_action,data_nature
1,160.67349166666665,109.46691350000002,1.9914753333333333,2538.929166666667,6.709815,35.62198333333333,0.57695,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
2,160.60332,109.35489033333333,1.9762343333333332,2531.4988999999996,6.7153149999999995,36.676966666666665,0.56585,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
3,160.34772,109.15884466666667,1.9722239999999998,2519.928,6.718521666666667,37.88080000000001,0.5765333333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
4,160.18808833333333,109.06480716666667,1.9465755,2511.5416333333333,6.720565,38.87904999999999,0.5692666666666667,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
5,160.00047166666667,108.93143433333334,1.9227069999999997,2503.4495,6.690308333333332,39.80391666666667,0.5773666666666666,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
6,159.92021,108.88768166666668,1.9132845,2501.0070666666666,6.699023333333335,40.65944999999999,0.5726833333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
7,159.672675,108.6764655,1.888099666666667,2494.4168999999997,6.698573333333334,41.46363333333334,0.5730333333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
8,159.61445166666667,108.65174466666666,1.874894166666667,2489.421533333333,6.678026666666667,42.215266666666665,0.5720000000000002,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
9,159.475745,108.5297385,1.8581203333333334,2484.4190666666664,6.6716516666666665,42.89198333333333,0.5670666666666668,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
10,159.43799666666666,108.51088516666667,1.8410633333333335,2480.4348666666665,6.659990000000001,43.53283333333333,0.5716833333333333,3.0,接近故障,critical,100.0,最佳状态,normal,0.0,无泄漏,normal,130.0,最佳压力,normal,1,未稳定,2,临界,1,False,route_maintenance_review,public-derived-cycle-feature-table
