school_name,major_name,notice_title,source_relative_url,published_date,province,school_type,school_attribute,notice_id,snapshot_year,freshness_status,official_verification_required,state,data_nature
北方民族大学,电子科学与技术、电子信息,2021年北方民族大学“电子科学与技术”和“电子信息”..,/tiaoji/schooldetail/id/28535.shtml,2021-03-09,宁夏,民族类,"中央部委高校


丝绸之路大学联盟成员",B022-TJ-0001,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
上海船舶运输科学研究所,轮机工程、通信与信息系统..,上海船舶运输科学研究所2021年硕士研究生招生调剂信息,/tiaoji/schooldetail/id/29191.shtml,2021-03-08,上海,,,B022-TJ-0002,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
北华大学,基础数学、计算数学、概率..,北华大学数学与统计学院2021年硕士研究生招生预调剂信..,/tiaoji/schooldetail/id/29189.shtml,2021-03-08,吉林,综合,"（2012年）
（2014年
全国高校实践育人创新创业基地（2015年）
（2017年）
（2014年）",B022-TJ-0003,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
佛山科学技术学院,机械工程、光学工程、材料..,佛山科学技术学院2021年硕士研究生预调剂公告(一),/tiaoji/schooldetail/id/29187.shtml,2021-03-08,湖南,,,B022-TJ-0004,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
武汉轻工大学,机械工程、机械、农业工程..,武汉轻工大学机械工程学院2021硕士研究生预调剂通知,/tiaoji/schooldetail/id/29185.shtml,2021-03-08,湖北,理工,"国家粮食和物资储备局与湖北省人民政府共建高校（2018）
湖北省国内一流学科建设高校（2018）
第一批卓越农林人才教育培养计划（2014）",B022-TJ-0005,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
三峡大学,数学、物理学、应用统计,浙江科技学院理学院/曙光大数据学院接收2021级研究生..,/tiaoji/schooldetail/id/29183.shtml,2021-03-08,广东,综合,"国家水利部和湖北省共建大学（2009）
教育部第二批“卓越工程师教育培养计划”高校（2011）
中西部高校基础能力建设工程（二期）（2016）
湖北省“国内一流大学”建设高校（2018）",B022-TJ-0006,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
太原科技大学,光学工程、电子信息,2021年太原科技大学光学工程学科(含电子信息) 接收研..,/tiaoji/schooldetail/id/29181.shtml,2021-03-08,山西,理工,"全日制普通本科院校
国家（2016年）
教育部（2016年）
教育部实施高校（2018年）",B022-TJ-0007,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
湖南工业大学,电气工程,湖南工业大学电气与信息工程学院2021年研究生招生拟接..,/tiaoji/schooldetail/id/29179.shtml,2021-03-08,湖南,理工类,"国家工商行政管理总局与湖南省共建高校（2018年）
服务国家特殊需求博士人才培养项目（2013年）
湖南省2011计划（2014年）

湖南省国内一流学科建设高校（2018年）",B022-TJ-0008,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
西华师范大学,地理学,西华师范大学国土资源学院2021年地理学研究生预调剂信..,/tiaoji/schooldetail/id/29177.shtml,2021-03-08,四川,综合（师范）类,四川省属重点大学,B022-TJ-0009,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
合肥师范学院,教育硕士,合肥师范学院2021年教育硕士专业学位调剂信息,/tiaoji/schooldetail/id/29175.shtml,2021-03-08,安徽,师范,"（2014年）
安徽省（2014年）
“十三五”应用型本科产教融合工程实施高校
安徽省“三全育人”综合改革试点高校",B022-TJ-0010,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
冶金自动化研究设计院,控制科学与工程、电气工程,冶金自动化研究设计院2021年招收硕士研究生调剂信息,/tiaoji/schooldetail/id/29173.shtml,2021-03-08,北京,,,B022-TJ-0011,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
上海应用技术大学,生态学、风景园林、材料与..,2021年上海应用技术大学生态技术与工程学院考研调剂信..,/tiaoji/schooldetail/id/29169.shtml,2021-03-08,上海,理工,"应用技术大学（学院）联盟
卓越工程师教育培养计划
上海市
全国100所应用型示范本科高校建设单位
上海高水平地方应用型高校",B022-TJ-0012,2021,历史快照,True,待回源核验,用户提供的 2021 年调剂信息快照
