date,box_office_cny,screenings,audience,audience_per_screening,average_ticket_price_cny,daily_champion,service_fee_cny,data_nature
2022-02-07,521662511.98,426462,10938703,26,48.0,长津湖之水门桥￥19074万 占37%,48125189.04,user-provided-historical-daily-box-office
2022-02-06,767454909.28,457564,15514640,34,49.0,长津湖之水门桥￥28841万 占38%,57248675.54,user-provided-historical-daily-box-office
2022-02-05,861391831.51,479079,17146416,36,50.0,长津湖之水门桥￥33388万 占39%,68692473.25,user-provided-historical-daily-box-office
2022-02-04,890635992.44,487703,17390306,36,51.0,长津湖之水门桥￥35846万 占40%,74792791.97,user-provided-historical-daily-box-office
2022-02-03,1019280361.69,505980,19214740,38,53.0,长津湖之水门桥￥43921万 占43%,91251155.02,user-provided-historical-daily-box-office
2022-02-02,1062802360.47,522390,19527566,37,54.0,长津湖之水门桥￥47162万 占44%,95213807.84,user-provided-historical-daily-box-office
2022-02-01,1448720924.41,560897,25890107,46,56.0,长津湖之水门桥￥63849万 占44%,139020301.62,user-provided-historical-daily-box-office
2022-01-31,20802543.94,127380,493782,4,42.0,误杀2￥347万 占17%,3242339.91,user-provided-historical-daily-box-office
2022-01-30,44498846.9,350957,1182335,3,38.0,误杀2￥844万 占19%,4266723.31,user-provided-historical-daily-box-office
2022-01-29,46964381.19,358252,1248986,3,38.0,误杀2￥899万 占19%,4463166.1,user-provided-historical-daily-box-office
2022-01-28,43427780.1,348045,1159173,3,37.0,穿过寒冬拥抱你￥830万 占19%,4153726.82,user-provided-historical-daily-box-office
2022-01-27,41470346.6,339217,1107915,3,37.0,穿过寒冬拥抱你￥815万 占20%,3987755.07,user-provided-historical-daily-box-office
2022-01-26,39931361.05,331534,1068942,3,37.0,穿过寒冬拥抱你￥792万 占20%,3845361.13,user-provided-historical-daily-box-office
2022-01-25,38970295.12,324916,1045266,3,37.0,穿过寒冬拥抱你￥778万 占20%,3777694.7,user-provided-historical-daily-box-office
2022-01-24,38123996.61,320219,1023694,3,37.0,穿过寒冬拥抱你￥766万 占20%,3700052.31,user-provided-historical-daily-box-office
2022-01-23,72213750.03,389651,1890266,5,38.0,穿过寒冬拥抱你￥1174万 占16%,6947939.15,user-provided-historical-daily-box-office
2022-01-22,75943733.07,392535,1978280,5,38.0,穿过寒冬拥抱你￥1203万 占16%,7245615.47,user-provided-historical-daily-box-office
2022-01-21,47085033.2,327493,1259067,4,37.0,穿过寒冬拥抱你￥941万 占20%,4446463.78,user-provided-historical-daily-box-office
2022-01-20,41930775.27,314971,1133363,4,37.0,穿过寒冬拥抱你￥860万 占21%,3985139.11,user-provided-historical-daily-box-office
2022-01-19,41544593.95,313697,1123863,4,37.0,穿过寒冬拥抱你￥848万 占20%,3966675.09,user-provided-historical-daily-box-office
2022-01-18,42512653.34,312282,1145285,4,37.0,穿过寒冬拥抱你￥867万 占20%,4106348.52,user-provided-historical-daily-box-office
2022-01-17,43340916.26,311763,1162035,4,37.0,穿过寒冬拥抱你￥890万 占21%,4235398.76,user-provided-historical-daily-box-office
2022-01-16,91553806.29,350074,2404399,7,38.0,穿过寒冬拥抱你￥1545万 占17%,8891463.11,user-provided-historical-daily-box-office
2022-01-15,106323302.76,358013,2770402,8,38.0,黑客帝国：矩阵重启￥1881万 占18%,10165660.47,user-provided-historical-daily-box-office
2022-01-14,69985970.56,329522,1869577,6,37.0,黑客帝国：矩阵重启￥1712万 占24%,6645520.56,user-provided-historical-daily-box-office
2022-01-13,47622885.36,323062,1235268,4,39.0,穿过寒冬拥抱你￥1077万 占23%,4291567.94,user-provided-historical-daily-box-office
2022-01-12,48348145.02,323175,1253681,4,39.0,穿过寒冬拥抱你￥1114万 占23%,4360860.95,user-provided-historical-daily-box-office
2022-01-11,49835195.19,330254,1290242,4,39.0,穿过寒冬拥抱你￥1164万 占23%,4564797.05,user-provided-historical-daily-box-office
2022-01-10,51238408.37,332070,1320572,4,39.0,穿过寒冬拥抱你￥1215万 占24%,4693073.85,user-provided-historical-daily-box-office
2022-01-09,111832115.49,383986,2837300,7,39.0,穿过寒冬拥抱你￥2368万 占21%,10420692.11,user-provided-historical-daily-box-office
2022-01-08,133684696.65,391000,3390273,9,39.0,穿过寒冬拥抱你￥2785万 占21%,12526382.16,user-provided-historical-daily-box-office
2022-01-07,83729714.3,357733,2141866,6,39.0,穿过寒冬拥抱你￥1848万 占22%,7578455.42,user-provided-historical-daily-box-office
2022-01-06,67299535.81,340713,1702596,5,40.0,穿过寒冬拥抱你￥1645万 占24%,6112982.71,user-provided-historical-daily-box-office
2022-01-05,73730333.52,348624,1861324,5,40.0,穿过寒冬拥抱你￥1966万 占27%,6734184.04,user-provided-historical-daily-box-office
2022-01-04,85711418.59,355692,2157030,6,40.0,穿过寒冬拥抱你￥2338万 占27%,7965713.73,user-provided-historical-daily-box-office
2022-01-03,208254164.78,425308,5057430,12,41.0,穿过寒冬拥抱你￥5433万 占26%,19087205.39,user-provided-historical-daily-box-office
2022-01-02,340873526.49,440969,8225989,19,41.0,穿过寒冬拥抱你￥9867万 占29%,31250001.29,user-provided-historical-daily-box-office
2022-01-01,472296753.78,476273,11358272,24,42.0,穿过寒冬拥抱你￥16657万 占35%,43741696.91,user-provided-historical-daily-box-office
