date,movie_name,screenings,share_pct,data_nature
2022-02-07,长津湖之水门桥,127296,29.85,user-provided-historical-screening-schedule
2022-02-07,这个杀手不太冷静,106724,25.03,user-provided-historical-screening-schedule
2022-02-07,奇迹·笨小孩,65424,15.34,user-provided-historical-screening-schedule
2022-02-07,狙击手,46466,10.9,user-provided-historical-screening-schedule
2022-02-07,熊出没·重返地球,42144,9.88,user-provided-historical-screening-schedule
2022-02-07,四海,20765,4.87,user-provided-historical-screening-schedule
2022-02-07,喜羊羊与灰太狼之筐出未来,13038,3.06,user-provided-historical-screening-schedule
2022-02-07,小虎墩大英雄,2617,0.61,user-provided-historical-screening-schedule
2022-02-07,汪汪队立大功大电影,1115,0.26,user-provided-historical-screening-schedule
2022-02-07,带你去见我妈,150,0.04,user-provided-historical-screening-schedule
2022-02-06,长津湖之水门桥,138828,30.34,user-provided-historical-screening-schedule
2022-02-06,这个杀手不太冷静,113996,24.91,user-provided-historical-screening-schedule
2022-02-06,奇迹·笨小孩,66249,14.48,user-provided-historical-screening-schedule
2022-02-06,熊出没·重返地球,48123,10.52,user-provided-historical-screening-schedule
2022-02-06,狙击手,44848,9.8,user-provided-historical-screening-schedule
2022-02-06,四海,24454,5.34,user-provided-historical-screening-schedule
2022-02-06,喜羊羊与灰太狼之筐出未来,14240,3.11,user-provided-historical-screening-schedule
2022-02-06,小虎墩大英雄,4347,0.95,user-provided-historical-screening-schedule
2022-02-06,汪汪队立大功大电影,1226,0.27,user-provided-historical-screening-schedule
2022-02-06,魔法满屋,220,0.05,user-provided-historical-screening-schedule
2022-02-05,长津湖之水门桥,147838,30.86,user-provided-historical-screening-schedule
2022-02-05,这个杀手不太冷静,117971,24.62,user-provided-historical-screening-schedule
2022-02-05,奇迹·笨小孩,66243,13.83,user-provided-historical-screening-schedule
2022-02-05,熊出没·重返地球,51705,10.79,user-provided-historical-screening-schedule
2022-02-05,狙击手,41190,8.6,user-provided-historical-screening-schedule
2022-02-05,四海,30089,6.28,user-provided-historical-screening-schedule
2022-02-05,喜羊羊与灰太狼之筐出未来,14440,3.01,user-provided-historical-screening-schedule
2022-02-05,小虎墩大英雄,4641,0.97,user-provided-historical-screening-schedule
2022-02-05,好想去你的世界爱你,1902,0.4,user-provided-historical-screening-schedule
2022-02-05,汪汪队立大功大电影,1151,0.24,user-provided-historical-screening-schedule
2022-02-04,长津湖之水门桥,152307,31.23,user-provided-historical-screening-schedule
2022-02-04,这个杀手不太冷静,114420,23.46,user-provided-historical-screening-schedule
2022-02-04,奇迹·笨小孩,63037,12.93,user-provided-historical-screening-schedule
2022-02-04,熊出没·重返地球,52676,10.8,user-provided-historical-screening-schedule
2022-02-04,四海,37839,7.76,user-provided-historical-screening-schedule
2022-02-04,狙击手,36593,7.5,user-provided-historical-screening-schedule
2022-02-04,喜羊羊与灰太狼之筐出未来,13711,2.81,user-provided-historical-screening-schedule
2022-02-04,小虎墩大英雄,4868,1.0,user-provided-historical-screening-schedule
2022-02-04,好想去你的世界爱你,1833,0.38,user-provided-historical-screening-schedule
2022-02-04,汪汪队立大功大电影,1017,0.21,user-provided-historical-screening-schedule
2022-02-03,长津湖之水门桥,159619,31.55,user-provided-historical-screening-schedule
2022-02-03,这个杀手不太冷静,108175,21.38,user-provided-historical-screening-schedule
2022-02-03,奇迹·笨小孩,65028,12.85,user-provided-historical-screening-schedule
2022-02-03,四海,54831,10.84,user-provided-historical-screening-schedule
2022-02-03,熊出没·重返地球,53151,10.5,user-provided-historical-screening-schedule
2022-02-03,狙击手,31960,6.32,user-provided-historical-screening-schedule
2022-02-03,喜羊羊与灰太狼之筐出未来,13702,2.71,user-provided-historical-screening-schedule
2022-02-03,小虎墩大英雄,8773,1.73,user-provided-historical-screening-schedule
2022-02-03,好想去你的世界爱你,698,0.14,user-provided-historical-screening-schedule
2022-02-03,汪汪队立大功大电影,664,0.13,user-provided-historical-screening-schedule
2022-02-02,长津湖之水门桥,163146,31.23,user-provided-historical-screening-schedule
2022-02-02,这个杀手不太冷静,91306,17.48,user-provided-historical-screening-schedule
2022-02-02,四海,84870,16.25,user-provided-historical-screening-schedule
2022-02-02,奇迹·笨小孩,72327,13.85,user-provided-historical-screening-schedule
2022-02-02,熊出没·重返地球,48005,9.19,user-provided-historical-screening-schedule
2022-02-02,狙击手,29947,5.73,user-provided-historical-screening-schedule
2022-02-02,喜羊羊与灰太狼之筐出未来,13597,2.6,user-provided-historical-screening-schedule
2022-02-02,小虎墩大英雄,9295,1.78,user-provided-historical-screening-schedule
2022-02-02,好想去你的世界爱你,679,0.13,user-provided-historical-screening-schedule
2022-02-02,汪汪队立大功大电影,247,0.05,user-provided-historical-screening-schedule
2022-02-01,长津湖之水门桥,149356,26.63,user-provided-historical-screening-schedule
2022-02-01,奇迹·笨小孩,120065,21.41,user-provided-historical-screening-schedule
2022-02-01,四海,92935,16.57,user-provided-historical-screening-schedule
2022-02-01,这个杀手不太冷静,82468,14.7,user-provided-historical-screening-schedule
2022-02-01,狙击手,54594,9.73,user-provided-historical-screening-schedule
2022-02-01,熊出没·重返地球,32513,5.8,user-provided-historical-screening-schedule
2022-02-01,喜羊羊与灰太狼之筐出未来,21063,3.76,user-provided-historical-screening-schedule
2022-02-01,小虎墩大英雄,7153,1.28,user-provided-historical-screening-schedule
2022-02-01,魔法精灵,158,0.03,user-provided-historical-screening-schedule
2022-02-01,独家头条,97,0.02,user-provided-historical-screening-schedule
