store_id,category_id,transaction_count,units_sold,sales_amount_cny,active_days,sales_velocity_units_per_day,sales_pressure_rank,recommended_action,data_nature
CDLG,922000003,324,420,911.12,58,7.24,1,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915030104,20,294,1257.22,13,22.62,2,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000003,202,266,718.98,50,5.32,3,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,920090000,26,196,383.96,14,14.0,4,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000002,168,178,314.16,53,3.36,5,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000002,100,168,318.2,34,4.94,6,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000003,138,158,374.2,32,4.94,7,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,923000006,132,158,817.42,40,3.95,8,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,923000006,122,130,709.98,41,3.17,9,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910030002,8,128,219.02,5,25.6,10,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,960000000,98,106,30.0,32,3.31,11,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910030001,10,94,194.48,9,10.44,12,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000001,86,94,213.12,33,2.85,13,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,923000006,82,94,416.4,28,3.36,14,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000001,78,94,193.56,31,3.03,15,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,920000400,2,90,135.0,2,45.0,16,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,960000000,80,76,21.0,27,2.81,17,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,923000002,56,76,514.84,20,3.8,18,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,925090000,70,74,2221.32,29,2.55,19,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,923000000,54,72,462.84,23,3.13,20,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000001,68,68,170.44,23,2.96,21,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,923000002,58,62,405.38,23,2.7,22,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910020104,12,60,98.84,7,8.57,23,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,923000000,44,60,387.98,19,3.16,24,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,960000000,60,60,17.6,26,2.31,25,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000002,70,58,131.84,24,2.42,26,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,922000000,94,50,168.0,26,1.92,27,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,923000002,46,50,340.08,18,2.78,28,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,921000002,2,50,50.0,2,25.0,29,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,923000000,34,46,317.24,17,2.71,30,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,922000000,140,44,159.2,41,1.07,31,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020502,36,44,430.88,19,2.32,32,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,910030000,8,44,79.02,3,14.67,33,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,915010000,28,44,349.5,17,2.59,34,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000006,22,44,107.92,12,3.67,35,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930020001,32,42,402.36,18,2.33,36,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,922000000,128,42,197.46,38,1.11,37,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,930020502,40,42,502.76,17,2.47,38,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,925090000,48,40,1328.94,23,1.74,39,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910030000,2,38,76.0,2,19.0,40,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,910030002,2,38,47.12,2,19.0,41,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030401,22,38,266.16,13,2.92,42,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030401,22,38,280.4,13,2.92,43,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930020502,34,36,358.72,18,2.0,44,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,914050002,26,34,82.56,13,2.62,45,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,930000201,32,32,342.64,20,1.6,46,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,915030101,14,32,168.28,9,3.56,47,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,925090000,34,32,1029.08,19,1.68,48,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDNL,930020001,30,32,536.64,11,2.91,49,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDLG,915030104,8,30,120.44,6,5.0,50,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,910030000,6,30,105.2,4,7.5,51,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
CDXL,914100001,30,30,159.8,14,2.14,52,核对在库、在途和货架容量后再创建补货单,derived-sales-pressure-not-inventory
