year_month,product,price,category
2018-01,大白菜,2.40,叶菜
2018-01,西红柿,5.01,茄果
2018-01,黄瓜,4.54,瓜菜
2018-01,土豆,3.43,根茎
2018-01,白萝卜,2.46,根茎
2018-01,洋葱,3.35,根茎
2018-01,苹果,8.33,水果
2018-01,梨,6.80,水果
2018-01,香蕉,5.62,水果
2018-01,猪肉,23.46,畜产品
2018-01,鸡蛋,8.62,畜产品
2018-01,草鱼,14.01,水产品
2018-02,大白菜,2.55,叶菜
2018-02,西红柿,5.25,茄果
2018-02,黄瓜,4.68,瓜菜
2018-02,土豆,3.47,根茎
2018-02,白萝卜,2.44,根茎
2018-02,洋葱,3.25,根茎
2018-02,苹果,7.96,水果
2018-02,梨,6.43,水果
2018-02,香蕉,5.28,水果
2018-02,猪肉,22.12,畜产品
2018-02,鸡蛋,8.23,畜产品
2018-02,草鱼,13.66,水产品
2018-03,大白菜,2.65,叶菜
2018-03,西红柿,5.37,茄果
2018-03,黄瓜,4.70,瓜菜
2018-03,土豆,3.42,根茎
2018-03,白萝卜,2.36,根茎
2018-03,洋葱,3.09,根茎
2018-03,苹果,7.49,水果
2018-03,梨,6.04,水果
2018-03,香蕉,5.00,水果
2018-03,猪肉,21.29,畜产品
2018-03,鸡蛋,8.10,畜产品
2018-03,草鱼,13.80,水产品
2018-04,大白菜,2.70,叶菜
2018-04,西红柿,5.34,茄果
2018-04,黄瓜,4.58,瓜菜
2018-04,土豆,3.27,根茎
2018-04,白萝卜,2.23,根茎
2018-04,洋葱,2.91,根茎
2018-04,苹果,7.06,水果
2018-04,梨,5.76,水果
2018-04,香蕉,4.86,水果
2018-04,猪肉,21.18,畜产品
2018-04,鸡蛋,8.28,畜产品
2018-04,草鱼,14.40,水产品
2018-05,大白菜,2.66,叶菜
2018-05,西红柿,5.17,茄果
2018-05,黄瓜,4.36,瓜菜
2018-05,土豆,3.09,根茎
2018-05,白萝卜,2.10,根茎
2018-05,洋葱,2.75,根茎
2018-05,苹果,6.77,水果
2018-05,梨,5.65,水果
2018-05,香蕉,4.89,水果
2018-05,猪肉,21.84,畜产品
2018-05,鸡蛋,8.70,畜产品
2018-05,草鱼,15.30,水产品
2018-06,大白菜,2.56,叶菜
2018-06,西红柿,4.90,茄果
2018-06,黄瓜,4.11,瓜菜
2018-06,土豆,2.91,根茎
2018-06,白萝卜,2.00,根茎
2018-06,洋葱,2.67,根茎
2018-06,苹果,6.71,水果
2018-06,梨,5.74,水果
2018-06,香蕉,5.09,水果
2018-06,猪肉,23.07,畜产品
2018-06,鸡蛋,9.26,畜产品
2018-06,草鱼,16.25,水产品
2018-07,大白菜,2.42,叶菜
2018-07,西红柿,4.61,茄果
2018-07,黄瓜,3.88,瓜菜
2018-07,土豆,2.78,根茎
2018-07,白萝卜,1.96,根茎
2018-07,洋葱,2.67,根茎
2018-07,苹果,6.89,水果
2018-07,梨,6.02,水果
2018-07,香蕉,5.40,水果
2018-07,猪肉,24.56,畜产品
2018-07,鸡蛋,9.81,畜产品
2018-07,草鱼,17.01,水产品
2018-08,大白菜,2.27,叶菜
2018-08,西红柿,4.37,茄果
2018-08,黄瓜,3.74,瓜菜
2018-08,土豆,2.75,根茎
2018-08,白萝卜,1.98,根茎
2018-08,洋葱,2.77,根茎
2018-08,苹果,7.27,水果
2018-08,梨,6.40,水果
2018-08,香蕉,5.75,水果
2018-08,猪肉,25.91,畜产品
2018-08,鸡蛋,10.20,畜产品
2018-08,草鱼,17.38,水产品
2018-09,大白菜,2.17,叶菜
2018-09,西红柿,4.25,茄果
2018-09,黄瓜,3.73,瓜菜
2018-09,土豆,2.81,根茎
2018-09,白萝卜,2.07,根茎
2018-09,洋葱,2.94,根茎
2018-09,苹果,7.74,水果
2018-09,梨,6.79,水果
2018-09,香蕉,6.03,水果
2018-09,猪肉,26.75,畜产品
2018-09,鸡蛋,10.34,畜产品
2018-09,草鱼,17.24,水产品
2018-10,大白菜,2.13,叶菜
2018-10,西红柿,4.29,茄果
2018-10,黄瓜,3.85,瓜菜
2018-10,土豆,2.96,根茎
2018-10,白萝卜,2.20,根茎
2018-10,洋葱,3.13,根茎
2018-10,苹果,8.18,水果
2018-10,梨,7.09,水果
2018-10,香蕉,6.18,水果
2018-10,猪肉,26.86,畜产品
2018-10,鸡蛋,10.17,畜产品
2018-10,草鱼,16.65,水产品
2018-11,大白菜,2.18,叶菜
2018-11,西红柿,4.47,茄果
2018-11,黄瓜,4.08,瓜菜
2018-11,土豆,3.15,根茎
2018-11,白萝卜,2.34,根茎
2018-11,洋葱,3.29,根茎
2018-11,苹果,8.47,水果
2018-11,梨,7.20,水果
2018-11,香蕉,6.16,水果
2018-11,猪肉,26.22,畜产品
2018-11,鸡蛋,9.76,畜产品
2018-11,草鱼,15.76,水产品
2018-12,大白菜,2.28,叶菜
2018-12,西红柿,4.74,茄果
2018-12,黄瓜,4.34,瓜菜
2018-12,土豆,3.34,根茎
2018-12,白萝卜,2.45,根茎
2018-12,洋葱,3.39,根茎
2018-12,苹果,8.54,水果
2018-12,梨,7.11,水果
2018-12,香蕉,5.97,水果
2018-12,猪肉,24.99,畜产品
