unique_key,created_date,closed_date,agency,complaint_type,descriptor,status,borough
66782680,2025-11-14,2025-11-19,NYPD,Noise,Loud Music,Closed,BROOKLYN
61162352,2025-10-15,2025-12-25,DSNY,Illegal Parking,Pothole,Closed,MANHATTAN
67070268,2025-09-19,,DSNY,Noise,No Heat,Open,MANHATTAN
67864020,2025-09-16,2025-12-28,NYPD,Heat/Hot Water,Blocked Driveway,Closed,QUEENS
64542177,2025-12-23,2025-12-16,DSNY,Heat/Hot Water,No Heat,Closed,MANHATTAN
62733670,2025-09-18,2025-11-18,DOT,Heat/Hot Water,Blocked Driveway,Closed,BROOKLYN
62122984,2025-11-03,2025-11-22,DSNY,Street Condition,Loud Music,Closed,QUEENS
66299402,2025-11-20,,DEP,Street Condition,Leak,Open,MANHATTAN
61870287,2025-11-04,,DOT,Street Condition,Pothole,Open,BROOKLYN
63511624,2025-12-22,,DEP,Street Condition,Pothole,Open,MANHATTAN
69549389,2025-11-27,2025-12-09,HPD,Illegal Parking,Blocked Driveway,Closed,QUEENS
62649629,2025-11-13,2025-11-23,DEP,Noise,Loud Music,Closed,MANHATTAN
60952101,2025-11-04,2025-11-26,DOT,Street Condition,Leak,Closed,BRONX
61856118,2025-10-16,2025-11-14,NYPD,Water System,Blocked Driveway,Closed,MANHATTAN
64175550,2025-10-09,2025-12-03,NYPD,Water System,Leak,Closed,QUEENS
64613368,2025-12-06,2025-11-02,HPD,Heat/Hot Water,No Heat,Closed,BROOKLYN
63437971,2025-12-08,2026-01-01,DOT,Water System,Loud Music,Closed,BROOKLYN
67475769,2025-12-01,2025-12-12,NYPD,Heat/Hot Water,Leak,Closed,QUEENS
60681037,2025-10-24,2025-11-04,DOT,Water System,Blocked Driveway,Closed,BROOKLYN
67345202,2025-10-06,2025-12-05,HPD,Noise,Blocked Driveway,Closed,QUEENS
61453817,2025-12-19,2025-11-21,HPD,Street Condition,Pothole,Closed,BROOKLYN
64989648,2025-11-11,2025-11-14,DOT,Street Condition,Loud Music,Closed,MANHATTAN
68200142,2025-12-01,2025-12-05,NYPD,Street Condition,Pothole,Closed,STATEN ISLAND
67705360,2025-09-09,,DSNY,Noise,Pothole,Open,BRONX
61248731,2025-09-29,2025-12-29,HPD,Street Condition,Loud Music,Closed,QUEENS
65478670,2025-12-20,,DEP,Water System,Blocked Driveway,Open,BROOKLYN
64363839,2025-10-31,2025-12-21,DSNY,Heat/Hot Water,Loud Music,Closed,QUEENS
62845974,2025-10-24,2025-11-18,DSNY,Noise,No Heat,Closed,QUEENS
60235099,2025-12-16,2025-11-09,DOT,Illegal Parking,No Heat,Closed,BROOKLYN
66822643,2025-09-09,2025-12-27,DEP,Street Condition,Leak,Closed,MANHATTAN
67719707,2025-10-16,2025-11-11,DEP,Street Condition,No Heat,Closed,QUEENS
63454895,2025-10-24,2025-11-28,DSNY,Street Condition,Leak,Closed,STATEN ISLAND
63936013,2025-11-05,2025-12-10,HPD,Heat/Hot Water,Loud Music,Closed,MANHATTAN
65968163,2025-09-10,2025-12-08,DOT,Illegal Parking,Loud Music,Closed,BROOKLYN
65023217,2025-12-26,2025-11-21,DEP,Illegal Parking,Pothole,Closed,QUEENS
69112959,2025-10-08,2025-11-06,DSNY,Illegal Parking,Blocked Driveway,Closed,QUEENS
66592865,2025-12-15,2025-12-11,DSNY,Illegal Parking,Blocked Driveway,Closed,BROOKLYN
68625360,2025-11-20,2025-12-08,DOT,Illegal Parking,No Heat,Closed,BROOKLYN
60553061,2025-12-10,,DOT,Noise,Pothole,Open,STATEN ISLAND
62013816,2025-09-19,2025-11-21,HPD,Noise,Blocked Driveway,Closed,STATEN ISLAND
67693680,2025-11-06,2025-12-01,DEP,Illegal Parking,Blocked Driveway,Closed,BRONX
65710854,2025-12-17,,DSNY,Street Condition,Pothole,Open,BRONX
61289615,2025-11-27,,DSNY,Heat/Hot Water,Loud Music,Open,QUEENS
