交易号,账户,金额,渠道,时间,风险信号,风险等级,是否复核
TX4298877,ACC6097,900.47,代扣,2025-11-14,正常,低,免复核
TX3481956,ACC3477,74302.86,网银,2025-12-27,夜间,高,待复核
TX3300670,ACC9023,1922.63,网银,2025-12-17,正常,低,免复核
TX1347610,ACC5669,78151.39,代扣,2025-11-16,异地,中,待复核
TX2308952,ACC5704,11881.72,网银,2025-11-05,正常,低,免复核
TX2359247,ACC6437,6475.39,POS,2025-12-15,正常,低,免复核
TX4927757,ACC7559,66187.04,移动,2025-10-03,异地,中,待复核
TX6647085,ACC2571,69417.01,POS,2025-10-07,高频,高,待复核
TX5173264,ACC4878,11487.71,移动,2025-10-29,正常,低,免复核
TX3421772,ACC7837,34707.62,POS,2025-12-29,夜间,中,待复核
TX2045664,ACC3018,11550.94,网银,2025-10-09,正常,低,免复核
TX3959652,ACC6326,74634.21,网银,2025-10-15,高频,高,待复核
TX6815805,ACC9484,49631.8,移动,2025-12-12,异地,中,待复核
TX4966532,ACC1320,22780.83,代扣,2025-10-14,正常,低,免复核
TX3914309,ACC7792,6725.51,POS,2025-12-31,正常,低,免复核
TX7573546,ACC9598,75824.62,代扣,2025-10-27,异地,中,待复核
TX4661730,ACC3651,13446.88,网银,2025-11-10,正常,低,免复核
TX1138859,ACC5999,44136.05,移动,2025-11-22,异地,高,待复核
TX6582519,ACC1197,54260.66,网银,2025-12-28,高频,高,待复核
TX4164365,ACC4848,35705.49,POS,2025-11-15,夜间,中,待复核
TX2742737,ACC1309,48047.29,POS,2025-12-26,大额,中,待复核
TX3213108,ACC4623,79714.81,POS,2025-11-15,大额,中,待复核
TX4065234,ACC1576,51126.73,网银,2025-12-25,夜间,中,待复核
TX8351564,ACC8313,61860.45,代扣,2025-11-29,高频,中,待复核
TX7509594,ACC6078,15427.56,POS,2025-10-04,正常,低,免复核
TX7484565,ACC7079,53659.45,代扣,2025-12-03,异地,高,待复核
TX5300778,ACC7082,41867.22,移动,2025-10-23,高频,中,待复核
TX6245900,ACC3780,23147.57,POS,2025-11-22,正常,低,免复核
TX7661320,ACC5004,17040.77,移动,2025-11-08,正常,低,免复核
TX1283199,ACC7578,75073.31,POS,2025-10-18,高频,高,待复核
TX3027377,ACC4001,59516.84,移动,2025-11-07,夜间,中,待复核
TX8471873,ACC8802,37060.19,代扣,2025-11-01,大额,中,待复核
TX4655941,ACC8126,20823.87,POS,2025-12-30,正常,低,免复核
TX2084266,ACC1964,13508.11,代扣,2025-12-18,正常,低,免复核
TX7243421,ACC3264,10274.47,代扣,2025-11-12,正常,低,免复核
