起飞城市,州,航司,计划分,实际分,到达延误分,取消,备降,主延误原因
"Charleston, SC",SC,9E,120,111,-19,0,0,
"Charlottesville, VA",VA,9E,107,103,-16,0,0,
"Norfolk, VA",VA,9E,86,151,62,0,0,空管
"New York, NY",NY,9E,198,191,34,0,0,航司
"Charlotte, NC",NC,9E,129,103,-28,0,0,
"Fayetteville, AR",AR,9E,113,101,-22,0,0,
"Charleston, SC",SC,9E,122,112,-10,0,0,
"Atlanta, GA",GA,9E,71,59,-17,0,0,
"New York, NY",NY,9E,145,126,-28,0,0,
"New York, NY",NY,9E,136,140,-6,0,0,
"New York, NY",NY,9E,76,72,-13,0,0,
"New York, NY",NY,9E,135,108,-34,0,0,
"Charleston, SC",SC,9E,119,0,0,1,0,
"Minneapolis, MN",MN,9E,120,130,10,0,0,
"New York, NY",NY,9E,129,113,-21,0,0,
"Pittsburgh, PA",PA,9E,136,170,66,0,0,空管
"Atlanta, GA",GA,9E,72,65,1,0,0,
"Detroit, MI",MI,9E,68,61,74,0,0,前序航班晚到
"New York, NY",NY,9E,122,101,-26,0,0,
"Knoxville, TN",TN,9E,104,93,-20,0,0,
"Myrtle Beach, SC",SC,9E,111,100,-25,0,0,
"Atlanta, GA",GA,9E,96,87,-14,0,0,
"Cleveland, OH",OH,9E,105,88,65,0,0,前序航班晚到
"Omaha, NE",NE,9E,80,77,-5,0,0,
"Detroit, MI",MI,9E,73,79,0,0,0,
"Appleton, WI",WI,9E,75,84,4,0,0,
"New York, NY",NY,9E,70,48,-29,0,0,
"New York, NY",NY,9E,93,72,79,0,0,航司
"New York, NY",NY,9E,89,82,-12,0,0,
"Raleigh/Durham, NC",NC,9E,99,94,-5,0,0,
"New York, NY",NY,9E,83,67,-21,0,0,
"Washington, DC",VA,9E,80,86,2,0,0,
"New York, NY",NY,9E,85,81,0,0,0,
"Atlanta, GA",GA,9E,58,43,-20,0,0,
"New York, NY",NY,9E,94,64,-38,0,0,
"Cincinnati, OH",KY,9E,88,75,-18,0,0,
"Syracuse, NY",NY,9E,75,62,-22,0,0,
"Atlanta, GA",GA,9E,97,88,-11,0,0,
"Minneapolis, MN",MN,9E,110,129,55,0,0,航司
"Atlanta, GA",GA,9E,53,41,-17,0,0,
"White Plains, NY",NY,9E,146,133,-15,0,0,
"Bangor, ME",ME,9E,94,85,16,0,0,航司
"Dallas/Fort Worth, TX",TX,AA,88,76,-14,0,0,
"Philadelphia, PA",PA,AA,215,199,12,0,0,
"Los Angeles, CA",CA,AA,186,194,-1,0,0,
"Seattle, WA",WA,AA,174,169,-8,0,0,
"Dallas/Fort Worth, TX",TX,AA,213,207,-7,0,0,
"Oklahoma City, OK",OK,AA,66,68,-3,0,0,
"Phoenix, AZ",AZ,AA,174,180,-3,0,0,
"Charlotte, NC",NC,AA,119,103,-22,0,0,
"Dallas/Fort Worth, TX",TX,AA,201,193,-7,0,0,
"Miami, FL",FL,AA,185,208,78,0,0,空管
"Charleston, SC",SC,AA,181,166,-23,0,0,
"Washington, DC",VA,AA,96,81,-21,0,0,
"Bakersfield, CA",CA,AA,187,219,30,0,0,空管
"Los Angeles, CA",CA,AA,253,231,-27,0,0,
"Dallas/Fort Worth, TX",TX,AA,178,167,-16,0,0,
"El Paso, TX",TX,AA,108,104,17,0,0,前序航班晚到
"Philadelphia, PA",PA,AA,258,249,5,0,0,
"Charlotte, NC",NC,AA,102,101,33,0,0,前序航班晚到
"New York, NY",NY,AA,196,177,-26,0,0,
"Charlotte, NC",NC,AA,81,81,9,0,0,
"San Juan, PR",PR,AA,225,241,10,0,0,
"Albany, NY",NY,AA,130,118,-15,0,0,
"Pittsburgh, PA",PA,AA,177,170,-7,0,0,
"Charlotte, NC",NC,AA,88,61,354,0,0,航司
"Charlotte, NC",NC,AA,54,79,131,0,0,航司
"Charlotte, NC",NC,AA,56,47,-17,0,0,
"Oklahoma City, OK",OK,AA,156,151,-13,0,0,
"Las Vegas, NV",NV,AA,271,248,-26,0,0,
"San Diego, CA",CA,AA,187,188,25,0,0,航司
"Los Angeles, CA",CA,AA,185,182,28,0,0,前序航班晚到
"Los Angeles, CA",CA,AA,291,297,8,0,0,
"Charlotte, NC",NC,AA,133,170,91,0,0,前序航班晚到
