Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01,6.95,13085,United Kingdom
489445,35916C,PINK FELT HANGING HEART W FLOWER,12,2009-12-01,0.85,17519,United Kingdom
489465,48185,DOOR MAT FAIRY CAKE,4,2009-12-01,6.75,13767,United Kingdom
489519,84949,SILVER HANGING T-LIGHT HOLDER,6,2009-12-01,1.65,17700,United Kingdom
489522,21181,PLEASE ONE PERSON  METAL SIGN,2,2009-12-01,2.1,15998,United Kingdom
489529,22086,PAPER CHAIN KIT 50'S CHRISTMAS,3,2009-12-01,2.95,17984,United Kingdom
489536,20728,LUNCH BAG CARS BLUE,4,2009-12-01,1.65,16393,United Kingdom
489539,22086,PAPER CHAIN KIT 50'S CHRISTMAS,160,2009-12-01,2.55,15061,United Kingdom
489548,22147,FELTCRAFT BUTTERFLY HEARTS,2,2009-12-01,1.45,,United Kingdom
489556,21738,COSY SLIPPER SHOES SMALL  RED,2,2009-12-01,2.95,15719,United Kingdom
489562,22169,FAMILY ALBUM WHITE PICTURE FRAME,1,2009-12-01,8.5,17998,United Kingdom
489572,84684,BEACH HUT PHOTO FRAME,2,2009-12-01,2.55,17611,United Kingdom
489574,21417,COCKLE SHELL DISH,2,2009-12-01,2.1,13097,United Kingdom
489582,72799B,PURPLE PILLAR CANDLE BLACK FLOCK,10,2009-12-01,2.95,14543,United Kingdom
489594,21875,KINGS CHOICE MUG,2,2009-12-01,1.25,15005,United Kingdom
489597,21431,GREEN GINGHAM FLOWER JEWELLERY BOX,1,2009-12-01,3.43,,United Kingdom
489597,22055,MINI CAKE STAND  HANGING STRAWBERY,2,2009-12-01,3.43,,United Kingdom
489597,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,1,2009-12-01,8.65,,United Kingdom
489597,90200D,PINK SWEETHEART BRACELET,3,2009-12-01,4.33,,United Kingdom
489599,22117,METAL SIGN HER DINNER IS SERVED,6,2009-12-01,2.95,12758,Portugal
489604,21330,WOODLAND ANIMAL  WRITING SET,2,2009-12-01,3.43,,United Kingdom
489612,79072,TEATIME CAKE TIN WITH HANDLE,1,2009-12-01,17.35,,United Kingdom
489637,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,12,2009-12-01,2.55,17243,United Kingdom
489645,20830,SILVER PHOTO FRAME,3,2009-12-01,2.1,17191,United Kingdom
489661,15044D,RED PAPER PARASOL,2,2009-12-01,2.95,17246,United Kingdom
489675,84029E,RED WOOLLY HOTTIE WHITE HEART.,168,2009-12-02,2.95,13777,United Kingdom
489683,21041,RED SPOTTY OVEN GLOVE DOUBLE,6,2009-12-02,2.95,16131,United Kingdom
489723,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,12,2009-12-02,5.95,14299,United Kingdom
489766,84992,72 SWEETHEART FAIRY CAKE CASES,1,2009-12-02,0.55,17818,United Kingdom
489786,79190B,RETRO PLASTIC POLKA TRAY,3,2009-12-02,0.42,17019,United Kingdom
489791,20621,ECONOMY PASSPORT COVER,1,2009-12-02,2.1,15542,United Kingdom
489793,22172,METAL SHELF WITH RAIL,2,2009-12-02,8.5,17476,United Kingdom
489802,20751,FUNKY WASHING UP GLOVES ASSORTED,1,2009-12-02,2.1,15581,United Kingdom
489807,21467,CHERRY CROCHET FOOD COVER,1,2009-12-02,3.75,15581,United Kingdom
489814,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,2,2009-12-02,2.55,14669,United Kingdom
489822,22138,BAKING SET 9 PIECE RETROSPOT,1,2009-12-02,4.95,14204,United Kingdom
489827,22336,DOVE DECORATION PAINTED ZINC,24,2009-12-02,0.65,17412,United Kingdom
489832,20829,GLITTER HANGING BUTTERFLY STRING,4,2009-12-02,2.1,14549,United Kingdom
489856,85226A,WHITE/BLUE PULL BACK RACING CAR,1,2009-12-02,1.7,,United Kingdom
489856,22135,LADLE LOVE HEART PINK,1,2009-12-02,0.87,,United Kingdom
489856,21948,SET OF 6 CAKE CHOPSTICKS,1,2009-12-02,2.57,,United Kingdom
489856,20620,RED SPOTTY PASSPORT COVER,1,2009-12-02,4.3,,United Kingdom
