活动,渠道,曝光,点击,转化,花费,CPA,CTR,CVR
品牌曝光,信息流A,42999,860,26,2433,94,0.02,0.0302
夏促,信息流A,289667,14483,434,29196,67,0.05,0.03
新品,信息流A,110868,2217,22,4969,226,0.02,0.0099
回流,信息流A,114574,4583,46,8445,184,0.04,0.01
会员日,信息流A,275916,13796,1380,12077,9,0.05,0.1
品牌曝光,信息流B,254358,15261,1221,14738,12,0.06,0.08
夏促,信息流B,57284,1719,155,2515,16,0.03,0.0902
新品,信息流B,254473,15268,763,28540,37,0.06,0.05
回流,信息流B,243947,9758,293,19658,67,0.04,0.03
会员日,信息流B,58550,586,70,1137,16,0.01,0.1195
品牌曝光,搜索,106633,4265,640,13412,21,0.04,0.1501
夏促,搜索,181065,7243,1304,18674,14,0.04,0.18
新品,搜索,95973,4799,864,7820,9,0.05,0.18
回流,搜索,33869,1355,190,2248,12,0.04,0.1402
会员日,搜索,32450,1947,273,1974,7,0.06,0.1402
品牌曝光,社交,105000,5250,420,16431,39,0.05,0.08
夏促,社交,169543,6782,610,10545,17,0.04,0.0899
新品,社交,280069,11203,336,20178,60,0.04,0.03
回流,社交,91511,915,55,1754,32,0.01,0.0601
会员日,社交,284488,2845,313,3674,12,0.01,0.11
品牌曝光,联盟,214161,10708,321,25177,78,0.05,0.03
夏促,联盟,127855,7671,537,21539,40,0.06,0.07
新品,联盟,99575,1992,120,4891,41,0.02,0.0602
回流,联盟,277139,8314,665,13457,20,0.03,0.08
会员日,联盟,76227,3049,366,7855,21,0.04,0.12
品牌曝光,视频,166328,8316,499,18581,37,0.05,0.06
夏促,视频,109240,2185,66,4077,62,0.02,0.0302
新品,视频,138078,5523,497,17546,35,0.04,0.09
回流,视频,32578,977,29,2115,73,0.03,0.0297
会员日,视频,59158,3549,355,9317,26,0.06,0.1
