会员号,卡等级,最近乘机天数,年飞行次数,年消费,分层,里程余额
A223095,白金,335,50,24244.26,流失预警,138414
A731050,金卡,178,46,110106.28,成长,106700
A697021,银卡,367,5,86736.99,流失预警,175846
A716741,白金,149,11,41521.32,成长,53192
A835900,金卡,381,8,9153.91,流失预警,35721
A517860,银卡,139,31,65485.01,成长,129994
A613093,普卡,366,19,119264.17,流失预警,67826
A547567,银卡,329,38,29306.66,流失预警,171791
A409072,银卡,374,38,53305.17,流失预警,159616
A524385,金卡,24,18,92982.57,成长,195237
A402173,银卡,229,38,104566.87,流失预警,154148
A364203,白金,201,30,20082.12,流失预警,80115
A487597,白金,15,27,111139.48,高价值,162905
A437662,金卡,315,45,102190.08,流失预警,68014
A227535,普卡,397,39,118665.78,流失预警,67361
A218666,金卡,235,15,74603.41,流失预警,35167
A112645,白金,242,25,94122.67,流失预警,38014
A103536,银卡,17,8,47207.27,成长,104330
A654265,普卡,233,3,50223.11,流失预警,19507
A635414,银卡,163,36,60486.99,成长,97100
A337462,白金,48,26,51702.93,高价值,143344
A694164,金卡,104,41,95343.45,成长,181026
A302015,银卡,289,10,28271.84,流失预警,147387
A393441,白金,291,29,73002.66,流失预警,11674
A892957,银卡,11,49,118325.9,高价值,174035
A705984,银卡,274,20,31737.62,流失预警,115236
A402447,银卡,328,21,49346.97,流失预警,43916
A568907,金卡,370,17,31192.48,流失预警,51171
A176035,银卡,365,19,76832.86,流失预警,22795
A619937,普卡,213,23,37770.27,流失预警,135633
A153143,银卡,388,3,111751.39,流失预警,88277
A490085,白金,252,36,85687.67,流失预警,24919
A130610,金卡,332,20,12256.07,流失预警,132002
A216439,白金,118,46,55318.66,成长,128768
A752409,银卡,25,43,96437.96,高价值,79731
A390399,普卡,75,44,85241.64,成长,40054
A355351,白金,143,7,28092.34,成长,171382
A275468,金卡,261,6,100160.91,流失预警,37433
A407910,金卡,191,48,112257.07,成长,7244
A718100,白金,220,9,31436.28,流失预警,199329
A682681,普卡,310,7,22701.42,流失预警,146229
A867537,银卡,130,31,97784.9,成长,118660
A590022,普卡,105,43,118224.7,成长,142064
A334299,银卡,310,29,13408.86,流失预警,151094
A529948,银卡,157,9,75690.76,成长,125846
A110741,普卡,372,41,49557.96,流失预警,60154
A152356,白金,5,34,88563.84,高价值,197086
A461890,普卡,103,33,86891.77,成长,149236
A145119,白金,125,37,108352.64,成长,22561
A349149,银卡,286,12,74984.88,流失预警,62505
A284418,金卡,20,34,29279.13,高价值,46547
A794357,银卡,34,19,119812.06,成长,182173
A119781,金卡,18,15,30836.81,成长,29034
A634630,银卡,400,13,63220.83,流失预警,8511
A661187,银卡,351,46,101025.76,流失预警,141011
A497312,金卡,54,21,13570.2,高价值,110520
A319705,银卡,103,11,6247.33,成长,6870
A162396,白金,284,29,6577.73,流失预警,173206
A117855,白金,159,9,85071.62,成长,18534
A708691,白金,247,7,56202.95,流失预警,4613
A482468,金卡,368,24,82428.17,流失预警,100689
A595887,白金,169,17,23378.45,成长,105185
A237945,金卡,38,1,51238,成长,25284
A643035,银卡,145,31,105014.78,成长,121726
A308498,白金,163,33,78542.06,成长,160499
A693468,金卡,77,16,20713.45,成长,85418
A333528,金卡,358,33,68940.37,流失预警,5226
A666454,白金,57,32,47933.23,高价值,84094
A732783,银卡,330,43,57840.77,流失预警,52036
A351396,银卡,67,37,31174.92,成长,195707
A144515,普卡,252,2,113279.3,流失预警,55075
A576516,银卡,272,49,1473.39,流失预警,171320
A256256,普卡,131,16,43657.32,成长,143104
A503933,金卡,373,12,16835.18,流失预警,32905
A489771,金卡,357,5,109597.79,流失预警,155774
A556969,普卡,168,41,90603.62,成长,136374
A543370,银卡,343,50,90725.27,流失预警,100844
A826086,银卡,131,48,21660.61,成长,133891
A445855,普卡,161,41,15612.68,成长,24854
A714149,银卡,189,11,107085.43,成长,98802
A189826,银卡,56,7,37875.72,成长,115650
A815968,金卡,165,5,65268.87,成长,45709
A239509,银卡,155,15,24420.04,成长,122027
A281954,普卡,12,27,96061.09,高价值,112680
A755283,银卡,44,33,88215.3,高价值,43410
A120574,银卡,152,47,66346.3,成长,153111
A633499,金卡,195,50,31892.7,成长,46369
A889021,普卡,15,9,54554.52,成长,150595
A314521,金卡,355,8,113240.2,流失预警,117321
A784535,银卡,277,43,52723.19,流失预警,168212
A132612,白金,87,22,85378.5,成长,97720
A454169,金卡,29,26,32990.91,高价值,146397
A621941,金卡,234,23,41681.21,流失预警,104539
A343281,白金,187,35,2440.27,成长,110044
A366782,白金,110,19,39267.86,成长,141667
A492766,普卡,307,30,113416.46,流失预警,64326
A479144,银卡,64,42,87138.41,成长,174450
A109114,普卡,369,23,104334.25,流失预警,136575
A854970,普卡,127,26,23354.4,成长,87667
A398443,银卡,299,3,1565.1,流失预警,161981
A770207,银卡,359,21,59638.61,流失预警,98706
A196611,普卡,349,28,19091.01,流失预警,59657
A685213,白金,290,40,65905.27,流失预警,154690
A392584,银卡,49,16,43062.1,成长,99050
A210112,普卡,388,2,36286.86,流失预警,193358
A774481,普卡,352,41,21390.27,流失预警,121984
A214069,白金,197,15,15422.59,成长,107779
A135822,金卡,63,15,101326.13,成长,130081
A502889,普卡,86,29,105628.22,成长,132180
A660232,银卡,179,49,15082.39,成长,86629
A442135,白金,16,33,67811.57,高价值,47302
A488581,银卡,16,34,43307.77,高价值,53424
A862468,普卡,39,32,61288.28,高价值,26971
A895540,银卡,165,38,18848.04,成长,47204
A472199,白金,40,19,78428,成长,124718
A445906,金卡,46,12,29798.05,成长,159428
A445798,白金,192,27,110544.75,成长,22110
A503875,普卡,151,16,16705.14,成长,194718
A598460,金卡,267,45,79860.62,流失预警,66919
A370205,金卡,275,23,73788.95,流失预警,53505
A845059,金卡,386,12,42982.41,流失预警,132383
A397850,金卡,168,9,15640.41,成长,54360
A130484,普卡,1,50,77071.82,高价值,101641
A407231,金卡,346,27,26122.35,流失预警,83773
A339938,白金,387,38,22184.59,流失预警,145467
A139549,金卡,117,39,10993.99,成长,9553
A408718,银卡,309,9,42253.9,流失预警,97557
A290793,金卡,79,24,60663.53,成长,192530
A606223,金卡,206,40,113562.15,流失预警,55368
A571894,金卡,50,2,30871.68,成长,183038
A346503,普卡,9,37,8409.26,高价值,164405
A631427,金卡,186,45,45929.77,成长,51159
A120323,银卡,27,39,62701.3,高价值,40192
A562931,普卡,142,12,66451.41,成长,45404
A517715,银卡,289,15,56171.4,流失预警,86351
A534778,普卡,259,5,48790.16,流失预警,158325
A796866,金卡,105,33,84587.6,成长,2508
A136225,金卡,58,16,74951.89,成长,24287
A388526,普卡,124,35,115861.13,成长,173356
A488558,金卡,326,25,42789.14,流失预警,31463
A849541,金卡,197,6,111256.48,成长,161134
A731864,普卡,68,5,33703.29,成长,45021
A619284,白金,108,20,114041.27,成长,57936
A100571,金卡,175,13,15281.04,成长,117886
A394033,金卡,144,38,54994.91,成长,71024
A540178,金卡,156,20,101162.54,成长,64770
A609632,金卡,84,47,45681.78,成长,95764
A526356,普卡,258,35,119834.43,流失预警,26666
A823357,银卡,197,7,48733.85,成长,82948
A657456,金卡,147,30,19516.83,成长,140215
A443701,普卡,167,19,70818.77,成长,113352
A699879,金卡,33,31,101928.26,高价值,23318
A755206,普卡,70,25,119052.68,成长,135016
A150588,白金,286,24,83652.51,流失预警,164318
A534168,普卡,248,5,98515.16,流失预警,41413
A818212,银卡,56,30,106415.94,高价值,140351
A176476,金卡,25,4,43497.54,成长,118811
A489963,银卡,23,22,14950.23,高价值,105437
A267024,金卡,59,34,23529.39,高价值,72525
A637231,金卡,264,15,46023,流失预警,192367
A640690,金卡,101,20,34526.5,成长,180662
A337229,白金,255,21,71384.89,流失预警,70468
A236188,银卡,298,27,106568.34,流失预警,28671
A562564,白金,132,15,26638.02,成长,46950
A567824,金卡,171,6,3074.45,成长,164460
A358124,银卡,312,23,28811.69,流失预警,69501
A733264,普卡,364,5,119767.68,流失预警,112958
A205496,金卡,219,37,53901.96,流失预警,50519
A826152,银卡,294,28,23487.9,流失预警,83623
A120839,普卡,360,5,113792.7,流失预警,173274
A343555,银卡,304,17,96737.73,流失预警,145737
A861749,普卡,116,34,98030.82,成长,140800
A743753,白金,302,26,60963.89,流失预警,3756
A474962,银卡,51,13,96133.6,成长,14024
A817070,银卡,202,19,99585.6,流失预警,197576
A318450,银卡,115,47,57965.76,成长,36161
A166361,金卡,56,39,48931.13,高价值,1078
A152785,金卡,59,3,18283.26,成长,7384
A803136,白金,188,31,6442.36,成长,45440
A619452,白金,389,10,29402.92,流失预警,91144
A237116,普卡,191,6,15873.97,成长,77587
A444100,白金,46,32,8989.11,高价值,118781
A868749,白金,330,13,24892.44,流失预警,18249
A508836,银卡,236,14,6928.92,流失预警,169964
A597807,金卡,180,37,101182.23,成长,140915
A275836,银卡,28,25,13898.52,高价值,128265
A869715,金卡,345,9,38752.09,流失预警,131956
A648078,普卡,386,43,83486.81,流失预警,29359
A431462,普卡,3,23,37695.62,高价值,125676
A174532,银卡,263,44,47743.03,流失预警,111833
A499389,白金,61,14,11729.14,成长,71349
A722466,普卡,365,30,69349.03,流失预警,65751
A617191,银卡,286,10,28046.84,流失预警,23145
A396426,银卡,328,7,88894.4,流失预警,138287
A206710,白金,136,13,100080.84,成长,161469
A132497,金卡,255,23,37943.64,流失预警,85021
A776748,金卡,203,48,34329.2,流失预警,66662
A603443,金卡,9,28,20166.96,高价值,178802
A592367,银卡,219,7,14211.14,流失预警,161050
A627414,白金,299,41,74690.86,流失预警,120053
A855021,银卡,123,26,71595.07,成长,52819
A120301,白金,363,30,31745.87,流失预警,90664
A375151,普卡,146,18,9349.12,成长,21638
A732816,银卡,207,41,53183.51,流失预警,150502
A776945,金卡,216,49,89577.82,流失预警,194379
A192330,普卡,280,48,62647.8,流失预警,51351
A210032,普卡,275,50,92060.87,流失预警,126558
A110886,银卡,294,13,24480.88,流失预警,65364
A327677,金卡,300,39,104074.67,流失预警,117998
A229408,金卡,115,33,82752.22,成长,85644
A708260,普卡,318,48,20532.14,流失预警,100010
A200731,白金,138,15,13505.25,成长,98420
A821033,金卡,93,30,91393.1,成长,27831
A116273,金卡,43,16,118340.49,成长,119453
A831585,银卡,313,29,5548.19,流失预警,77140
A345098,银卡,398,24,34941.42,流失预警,49912
A781267,银卡,196,26,19241.58,成长,109888
A428161,普卡,108,13,41736.14,成长,10991
A785503,白金,296,37,75825.44,流失预警,108903
A355150,白金,275,37,96453.16,流失预警,44409
A550930,银卡,168,29,74262.29,成长,114380
A434096,白金,155,26,16208.24,成长,93909
A487454,白金,239,35,13694.16,流失预警,98366
A667399,普卡,377,13,32907.63,流失预警,68190
A218607,银卡,102,22,51381.43,成长,40218
A218473,银卡,334,24,6489.97,流失预警,195778
A128698,白金,108,6,86864.1,成长,185441
A804915,普卡,196,13,85458.71,成长,83618
A515954,银卡,167,16,101443.28,成长,166248
A424703,白金,279,26,40348.89,流失预警,7656
A587890,白金,364,28,68719.3,流失预警,74347
A789812,普卡,212,14,13192.96,流失预警,43651
A817790,白金,43,31,78831.32,高价值,104943
A739872,银卡,339,14,88174.95,流失预警,155614
A218521,白金,355,40,25991.06,流失预警,71516
A869097,金卡,321,33,117847.2,流失预警,181162
A583225,银卡,368,32,8747.52,流失预警,81364
A433105,白金,272,7,74330.7,流失预警,185831
A224070,白金,79,16,86819.38,成长,147604
A398945,普卡,156,50,19336.05,成长,5594
A304512,普卡,277,31,27215.58,流失预警,153496
A567042,白金,173,30,27570.04,成长,6116
A612429,金卡,328,15,23482.35,流失预警,105989
A462539,银卡,245,42,68887.86,流失预警,198698
A250016,银卡,148,22,3591.74,成长,95111
A298127,白金,292,10,82825.31,流失预警,111428
A516492,普卡,311,36,72624.66,流失预警,128425
A415781,金卡,25,2,81266.52,成长,163305
A894129,金卡,363,18,83783.06,流失预警,182789
A598757,金卡,361,41,97406.59,流失预警,10469
A241868,白金,167,2,117344.62,成长,21556
A408943,银卡,68,30,102397.53,成长,192589
A162860,白金,202,44,84193.96,流失预警,51874
A810332,金卡,32,48,96909.56,高价值,85116
A735870,金卡,94,22,48039.49,成长,85073
A432034,普卡,62,11,77689.66,成长,160692
