借款号,放款成功,借款金额,学历等级,历史成功次数,授信额度,有征信报告,描述字数,有效字符率,复杂词比例,主题1,主题2,主题3,主题4,信用画像,风险信号
699082,1,5000,3,2,1,有,182,0.709,0.009,0.102,0.894,0.001,0.001,优质,
711904,1,3000,4,1,1,有,182,0.709,0.009,0.005,0.98,0.005,0.005,成长,
713966,1,50000,3,3,1,有,182,0.709,0.009,0.011,0.958,0.011,0.011,优质,
773738,1,3000,3,7,1,有,182,0.709,0.009,0.005,0.981,0.005,0.005,优质,
778102,1,3000,3,3,20000,有,182,0.709,0.009,0.993,0.002,0.002,0.002,优质,
782466,1,50000,3,3,1,有,182,0.709,0.009,0.007,0.972,0.007,0.007,优质,
795870,1,20000,3,2,1,有,182,0.709,0.009,0.013,0.947,0.013,0.013,优质,
713091,0,60000,3,1,60000,有,182,0.709,0.009,0.993,0.002,0.002,0.002,优质,
713171,0,65000,4,1,65000,有,182,0.709,0.009,0.003,0.003,0.403,0.003,优质,
713399,0,300000,4,1,300000,有,182,0.709,0.009,0.003,0.003,0.988,0.003,优质,
725026,0,20000,3,4,90000,有,182,0.709,0.009,0.003,0.003,0.003,0.003,优质,
751371,0,50000,3,1,50000,有,182,0.709,0.009,0.003,0.003,0.829,0.003,优质,
773436,0,46000,3,1,46000,有,182,0.709,0.009,0.003,0.003,0.003,0.003,成长,
773560,0,20000,4,3,50000,有,182,0.709,0.009,0.003,0.003,0.889,0.102,优质,
775765,0,22000,3,1,22000,有,182,0.709,0.009,0.003,0.003,0.988,0.003,成长,
775940,0,150000,3,2,160000,有,182,0.709,0.009,0.003,0.003,0.987,0.003,优质,
781712,0,15000,4,1,15000,有,182,0.709,0.009,0.003,0.003,0.003,0.989,成长,
785668,0,26000,3,4,61000,有,182,0.709,0.009,0.003,0.003,0.988,0.003,优质,
792899,0,5000,3,4,13000,有,182,0.709,0.009,0.003,0.003,0.987,0.003,优质,
395598,1,12000,3,1,12000,无,256,0.656,0.061,0.993,0.002,0.002,0.002,薄档,高风险薄档
397763,1,10000,2,1,10000,无,24,0.875,0,0.005,0.979,0.005,0.005,薄档,高风险薄档
398878,1,30000,3,2,30000,无,14,0.857,0,0.003,0.003,0.987,0.003,待观察,需人工复核
403995,1,9000,1,1,9000,无,79,0.684,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
404240,1,24000,2,1,24000,无,57,0.719,0.069,0.003,0.003,0.38,0.003,薄档,高风险薄档
407214,1,50000,1,1,50000,无,47,0.638,0,0.003,0.003,0.003,0.003,待观察,需人工复核
409943,1,20000,3,1,20000,无,30,0.767,0,0.087,0.003,0.904,0.003,薄档,高风险薄档
410323,1,10000,1,1,10000,无,47,0.809,0.1,0.003,0.003,0.987,0.003,薄档,高风险薄档
412073,1,14000,2,1,14000,无,26,0.615,0.133,0.003,0.003,0.003,0.989,薄档,高风险薄档
416294,1,8000,1,1,8000,无,25,0.56,0,0.003,0.003,0.926,0.003,薄档,高风险薄档
422781,1,11000,3,1,11000,无,42,0.619,0.037,0.018,0.927,0.018,0.018,薄档,高风险薄档
425404,1,13000,2,1,13000,无,20,0.9,0,0.004,0.945,0.004,0.004,薄档,高风险薄档
425930,1,5000,1,1,5000,无,21,0.667,0,0.993,0.002,0.002,0.002,薄档,高风险薄档
430060,1,8000,2,1,8000,无,122,0.598,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
430414,1,15000,3,1,15000,无,40,0.775,0.083,0.003,0.003,0.003,0.003,薄档,高风险薄档
430750,1,20000,2,2,20000,无,171,0.55,0.02,0.003,0.003,0.003,0.003,待观察,需人工复核
435981,1,8000,2,1,8000,无,22,0.818,0,0.003,0.003,0.987,0.003,薄档,高风险薄档
439288,1,15000,2,1,15000,无,83,0.602,0.018,0.003,0.003,0.988,0.003,薄档,高风险薄档
440937,1,16000,1,1,16000,无,78,0.667,0,0.003,0.003,0.035,0.003,薄档,高风险薄档
441155,1,10000,1,1,10000,无,133,0.752,0.092,0.003,0.003,0.823,0.069,薄档,高风险薄档
